fold,router,fixed
1,0.07370263836539426,0.07379448832178685
2,0.08650228589894117,0.08656773657256076
3,0.0742407862053068,0.0741706422771253
4,0.06691627655778176,0.06712270653265603
5,0.06442098258838284,0.06556320539809647
6,0.06051888998058452,0.06098176219580638
