method,method_label,batch_origins,process_repeats,samples,model_only_median_ms,model_only_mean_ms,model_only_p90_ms,model_only_p95_ms,end_to_end_median_ms,end_to_end_mean_ms,end_to_end_p90_ms,end_to_end_p95_ms,forecast_origins_per_second_p50,zone_horizon_predictions_per_second_p50,peak_gpu_memory_bytes,peak_cpu_rss_bytes,artifact_bytes,parameter_count,tree_count,leaf_count,measurement_source,RMSE
dlinear,DLinear,1,5,5000,1.0209439992904663,1.1125812599897384,1.5099039912223817,1.6092560231685642,1.1657,1.25751196,1.6454000000000004,1.7627100000000004,857.8536501672814,943639.0151840097,34363904,685064192,13984,1352.0,,,measured,0.0753619370279909
nlinear,NLinear,1,5,5000,0.5137280225753784,0.5513085571229458,0.6329056084156037,0.8530576139688492,0.674,0.7155903399999999,0.8081200000000001,1.0561350000000003,1483.6795252225518,1632047.477744807,34122752,663441408,8872,676.0,,,measured,0.0757111359298583
gbdt_forecaster,GBDT-Forecaster,1,5,5000,5.06175,5.2164281,5.476100000000001,5.7584,6.24245,6.457547399999999,6.79231,7.194650000000002,160.19351376462768,176212.86514109044,0,524804096,2113221,,667.0,20677.0,measured,0.0781650456120588
caper,CAPER,1,5,5000,6.504447937011719,6.801279155254364,7.993177461624146,8.788601684570315,7.934,8.32774316,9.735000000000001,10.79837,126.03982858583312,138643.81144441644,35445760,1069539328,236680,47992.0,,,measured,0.0755066775138953
timexer,TimeXer,1,5,5000,13.575488090515137,13.979844209289551,15.047731494903564,15.551225423812868,14.0672,14.387319219999998,15.4555,15.951965000000001,71.08735213830755,78196.0873521383,79566336,907821056,19769480,2358788.0,,,measured,0.0737089292532793
global_fixed,Global Fixed CAPER+TimeXer,1,5,5000,19.464560508728027,21.047616928100584,25.822672653198246,31.2012565612793,20.93975,22.609454380000003,27.69584,33.122595,47.756062035124586,52531.668238637045,80197120,1253978112,20006160,2406781.0,,,measured,0.0713667568830053
horizon_fixed,Horizon Fixed CAPER+TimeXer,1,5,5000,19.464560508728027,21.047616928100584,25.822672653198246,31.2012565612793,20.93975,22.609454380000003,27.69584,33.122595,47.756062035124586,52531.668238637045,80197120,1253978112,20006160,2406781.0,,,execution_graph_equivalent_to_global_fixed,0.0713717787841358
