model,seed,epoch,training_mse,optimizer_steps,selection_rmse
DIRECT_SHORT_OD,20260913,15,0.013647465814568409,885,0.11205093966208612
DIRECT_SHORT_OD,20260913,16,0.01359723910647601,944,
DIRECT_SHORT_OD,20260913,17,0.013556404401988546,1003,
DIRECT_SHORT_OD,20260913,18,0.013518188363749142,1062,
DIRECT_SHORT_OD,20260913,19,0.013490946993491569,1121,
DIRECT_SHORT_OD,20260913,20,0.013461123708111337,1180,0.11124167738147803
DIRECT_SHORT_OD,20260914,1,0.017493602469077912,59,
DIRECT_SHORT_OD,20260914,2,0.015437342609503473,118,
DIRECT_SHORT_OD,20260914,3,0.01508869865020809,177,
DIRECT_SHORT_OD,20260914,4,0.014827433152966304,236,
DIRECT_SHORT_OD,20260914,5,0.014574535110908927,295,0.11521323678022355
DIRECT_SHORT_OD,20260914,6,0.01435071601798768,354,
DIRECT_SHORT_OD,20260914,7,0.014190442011784028,413,
DIRECT_SHORT_OD,20260914,8,0.014064660233910547,472,
DIRECT_SHORT_OD,20260914,9,0.013969622459162093,531,
DIRECT_SHORT_OD,20260914,10,0.013879086000465194,590,0.11319669946406274
DIRECT_SHORT_OD,20260914,11,0.01380976871276122,649,
DIRECT_SHORT_OD,20260914,12,0.01374426310369339,708,
DIRECT_SHORT_OD,20260914,13,0.013688993819255882,767,
DIRECT_SHORT_OD,20260914,14,0.013643529575477377,826,
DIRECT_SHORT_OD,20260914,15,0.013603501863941556,885,0.1117707422510522
DIRECT_SHORT_OD,20260914,16,0.013565708508319927,944,
DIRECT_SHORT_OD,20260914,17,0.013529110622649101,1003,
DIRECT_SHORT_OD,20260914,18,0.01349586224426999,1062,
DIRECT_SHORT_OD,20260914,19,0.013464271962416894,1121,
DIRECT_SHORT_OD,20260914,20,0.013435492335732496,1180,0.11119425654991895
DIRECT_LONG_OD,20260913,1,0.014793514539130054,59,
DIRECT_LONG_OD,20260913,2,0.010798239006064353,118,
DIRECT_LONG_OD,20260913,3,0.009808919241519675,177,
DIRECT_LONG_OD,20260913,4,0.009263479771110318,236,
DIRECT_LONG_OD,20260913,5,0.00894495868443787,295,0.09550758701417335
DIRECT_LONG_OD,20260913,6,0.008720428883788149,354,
DIRECT_LONG_OD,20260913,7,0.008577008291216078,413,
DIRECT_LONG_OD,20260913,8,0.00843535951926729,472,
DIRECT_LONG_OD,20260913,9,0.008316358854973302,531,
DIRECT_LONG_OD,20260913,10,0.008226918615230687,590,0.09347325957682324
DIRECT_LONG_OD,20260913,11,0.008150138170386855,649,
DIRECT_LONG_OD,20260913,12,0.008078197093054981,708,
DIRECT_LONG_OD,20260913,13,0.007997537761889537,767,
DIRECT_LONG_OD,20260913,14,0.007936111983235024,826,
DIRECT_LONG_OD,20260913,15,0.007908176598701612,885,0.09161132610575266
DIRECT_LONG_OD,20260913,16,0.007837544649239397,944,
DIRECT_LONG_OD,20260913,17,0.007792030139201877,1003,
DIRECT_LONG_OD,20260913,18,0.0077491027958483906,1062,
DIRECT_LONG_OD,20260913,19,0.007704289809438439,1121,
DIRECT_LONG_OD,20260913,20,0.0076627294166997885,1180,0.09061905323148922
DIRECT_LONG_OD,20260914,1,0.01486577738189336,59,
DIRECT_LONG_OD,20260914,2,0.010905558933570035,118,
DIRECT_LONG_OD,20260914,3,0.009893370482153593,177,
DIRECT_LONG_OD,20260914,4,0.009333389063685476,236,
DIRECT_LONG_OD,20260914,5,0.009000103183604093,295,0.09552731713556654
DIRECT_LONG_OD,20260914,6,0.008757500329042133,354,
DIRECT_LONG_OD,20260914,7,0.008592600612972673,413,
DIRECT_LONG_OD,20260914,8,0.008474619707711979,472,
DIRECT_LONG_OD,20260914,9,0.008326429454861043,531,
DIRECT_LONG_OD,20260914,10,0.00823543959250461,590,0.09218791177293165
DIRECT_LONG_OD,20260914,11,0.00815561929656577,649,
DIRECT_LONG_OD,20260914,12,0.00807773281694473,708,
DIRECT_LONG_OD,20260914,13,0.008054971749472539,767,
DIRECT_LONG_OD,20260914,14,0.007964459518160116,826,
DIRECT_LONG_OD,20260914,15,0.007908932253371982,885,0.0912762495020325
DIRECT_LONG_OD,20260914,16,0.007857167019499888,944,
DIRECT_LONG_OD,20260914,17,0.007817444096046051,1003,
DIRECT_LONG_OD,20260914,18,0.007781946262783124,1062,
DIRECT_LONG_OD,20260914,19,0.007737779284430372,1121,
DIRECT_LONG_OD,20260914,20,0.007697869237912869,1180,0.09081657932810407
