model,seed,epoch,training_mse,optimizer_steps,selection_rmse
RELAX_SHORT_O,20260913,1,0.018148171830815664,59,
RELAX_SHORT_O,20260913,2,0.0160878188465055,118,
RELAX_SHORT_O,20260913,3,0.015831463028374872,177,
RELAX_SHORT_O,20260913,4,0.015702390107266286,236,
RELAX_SHORT_O,20260913,5,0.015604475247768408,295,0.12164604888402285
RELAX_SHORT_O,20260913,6,0.015524842935050237,354,
RELAX_SHORT_O,20260913,7,0.015459826740456746,413,
RELAX_SHORT_O,20260913,8,0.015407949267438508,472,
RELAX_SHORT_O,20260913,9,0.015362027127213773,531,
RELAX_SHORT_O,20260913,10,0.015318930816120282,590,0.12067618708492076
RELAX_SHORT_O,20260913,11,0.015282634354605126,649,
RELAX_SHORT_O,20260913,12,0.015241403461767585,708,
RELAX_SHORT_O,20260913,13,0.015205902844843725,767,
RELAX_SHORT_O,20260913,14,0.015174393047771547,826,
RELAX_SHORT_O,20260913,15,0.015148019726659164,885,0.12014397944973398
RELAX_SHORT_O,20260913,16,0.015122936460247125,944,
RELAX_SHORT_O,20260913,17,0.015100664914910009,1003,
RELAX_SHORT_O,20260913,18,0.015079205400218058,1062,
RELAX_SHORT_O,20260913,19,0.015058021221855782,1121,
RELAX_SHORT_O,20260913,20,0.015039889463445812,1180,0.1198713140640636
RELAX_SHORT_O,20260914,1,0.018058189887023037,59,
RELAX_SHORT_O,20260914,2,0.016020638806000815,118,
RELAX_SHORT_O,20260914,3,0.0158066419591828,177,
RELAX_SHORT_O,20260914,4,0.015689453159908554,236,
RELAX_SHORT_O,20260914,5,0.015604283311781224,295,0.1218306459683878
RELAX_SHORT_O,20260914,6,0.0155384819631435,354,
RELAX_SHORT_O,20260914,7,0.01548853572595659,413,
RELAX_SHORT_O,20260914,8,0.01543892868373492,472,
RELAX_SHORT_O,20260914,9,0.015396976721449455,531,
RELAX_SHORT_O,20260914,10,0.015350889608808304,590,0.12099121464810839
RELAX_SHORT_O,20260914,11,0.015309075395835292,649,
RELAX_SHORT_O,20260914,12,0.015273260967121697,708,
RELAX_SHORT_O,20260914,13,0.015233046907967134,767,
RELAX_SHORT_O,20260914,14,0.015203527818163707,826,
RELAX_SHORT_O,20260914,15,0.01516714356092743,885,0.12060865358402847
RELAX_SHORT_O,20260914,16,0.015139273804542483,944,
RELAX_SHORT_O,20260914,17,0.01511111094169829,1003,
RELAX_SHORT_O,20260914,18,0.015088429007696235,1062,
RELAX_SHORT_O,20260914,19,0.01506715327745629,1121,
RELAX_SHORT_O,20260914,20,0.015046753619637861,1180,0.12055545822383404
RELAX_SHORT_OD,20260913,1,0.018059595012306646,59,
RELAX_SHORT_OD,20260913,2,0.015695190916758767,118,
RELAX_SHORT_OD,20260913,3,0.015255470703738316,177,
RELAX_SHORT_OD,20260913,4,0.01499792515102661,236,
RELAX_SHORT_OD,20260913,5,0.014848042962529097,295,0.11892296851135051
RELAX_SHORT_OD,20260913,6,0.014742638571315433,354,
RELAX_SHORT_OD,20260913,7,0.014659080571402599,413,
RELAX_SHORT_OD,20260913,8,0.014585215672262975,472,
RELAX_SHORT_OD,20260913,9,0.014524529366980158,531,
RELAX_SHORT_OD,20260913,10,0.01447004405542707,590,0.11769955967274816
RELAX_SHORT_OD,20260913,11,0.014418257590230197,649,
RELAX_SHORT_OD,20260913,12,0.014367485907997343,708,
RELAX_SHORT_OD,20260913,13,0.014318649326743007,767,
RELAX_SHORT_OD,20260913,14,0.014268430639607326,826,
RELAX_SHORT_OD,20260913,15,0.014227055924631046,885,0.11723239330595163
RELAX_SHORT_OD,20260913,16,0.014188839788365012,944,
RELAX_SHORT_OD,20260913,17,0.014159280845517314,1003,
RELAX_SHORT_OD,20260913,18,0.014127272225934942,1062,
RELAX_SHORT_OD,20260913,19,0.014100837090271868,1121,
RELAX_SHORT_OD,20260913,20,0.01407477688290188,1180,0.11690196312240049
RELAX_SHORT_OD,20260914,1,0.017966809734584584,59,
RELAX_SHORT_OD,20260914,2,0.01555345871064761,118,
RELAX_SHORT_OD,20260914,3,0.015194496525650254,177,
RELAX_SHORT_OD,20260914,4,0.015018043480179478,236,
RELAX_SHORT_OD,20260914,5,0.014892547035233367,295,0.11940945058851685
RELAX_SHORT_OD,20260914,6,0.014790399192808055,354,
RELAX_SHORT_OD,20260914,7,0.01470774250889824,413,
RELAX_SHORT_OD,20260914,8,0.014627525513213098,472,
RELAX_SHORT_OD,20260914,9,0.014556135255835668,531,
RELAX_SHORT_OD,20260914,10,0.014475784798803395,590,0.11822113917431451
RELAX_SHORT_OD,20260914,11,0.014409145571464645,649,
RELAX_SHORT_OD,20260914,12,0.014345491953556,708,
RELAX_SHORT_OD,20260914,13,0.014291532580683147,767,
RELAX_SHORT_OD,20260914,14,0.014246843842184113,826,
RELAX_SHORT_OD,20260914,15,0.014207224624982237,885,0.11734952723776973
RELAX_SHORT_OD,20260914,16,0.01417343626781562,944,
RELAX_SHORT_OD,20260914,17,0.014139814346305015,1003,
RELAX_SHORT_OD,20260914,18,0.014113543815988136,1062,
RELAX_SHORT_OD,20260914,19,0.014088660726851821,1121,
RELAX_SHORT_OD,20260914,20,0.014069580175972247,1180,0.11705792437757992
DIRECT_SHORT_OD,20260913,1,0.017590973989233132,59,
DIRECT_SHORT_OD,20260913,2,0.01556642824408918,118,
DIRECT_SHORT_OD,20260913,3,0.01508438346012901,177,
DIRECT_SHORT_OD,20260913,4,0.01473242502818839,236,
DIRECT_SHORT_OD,20260913,5,0.014498645597570118,295,0.11486863688695706
DIRECT_SHORT_OD,20260913,6,0.014338494383058467,354,
DIRECT_SHORT_OD,20260913,7,0.014220158297440208,413,
DIRECT_SHORT_OD,20260913,8,0.014124235535692307,472,
DIRECT_SHORT_OD,20260913,9,0.014037882490257546,531,
DIRECT_SHORT_OD,20260913,10,0.01396369969414299,590,0.11321310603038807
DIRECT_SHORT_OD,20260913,11,0.013889896351969331,649,
DIRECT_SHORT_OD,20260913,12,0.013820666609453358,708,
DIRECT_SHORT_OD,20260913,13,0.01375909083108033,767,
DIRECT_SHORT_OD,20260913,14,0.013697300054513355,826,
