model,seed,postprocess,horizon,target_scope,origin,mse,mae
RELAX_SHORT_O,20260913,raw,9,terminal_H,1392,0.012516630984320517,0.056199730755205644
RELAX_SHORT_O,20260913,raw,9,terminal_H,1404,0.006794223451195113,0.05536443368129602
RELAX_SHORT_O,20260913,raw,9,terminal_H,1416,0.005442107992240257,0.042097016988581426
RELAX_SHORT_O,20260913,raw,9,terminal_H,1428,0.00754523177677851,0.054659026622063143
RELAX_SHORT_O,20260913,raw,9,terminal_H,1440,0.005559384809740064,0.05003135660972806
RELAX_SHORT_O,20260913,raw,9,terminal_H,1452,0.015443544686565225,0.08332262399209536
RELAX_SHORT_O,20260913,raw,9,terminal_H,1464,0.04990191070202882,0.1781875894811343
RELAX_SHORT_O,20260913,raw,9,terminal_H,1476,0.011028637304943792,0.07025999291418968
RELAX_SHORT_O,20260913,raw,9,terminal_H,1488,0.012730917103275865,0.06412496422774645
RELAX_SHORT_O,20260913,raw,9,terminal_H,1500,0.015232852968771334,0.07417978665262291
RELAX_SHORT_O,20260913,raw,9,terminal_H,1512,0.03585827282378151,0.1345324687322136
RELAX_SHORT_O,20260913,raw,9,terminal_H,1524,0.02219212880900656,0.11051455588196404
RELAX_SHORT_O,20260913,raw,9,terminal_H,1536,0.014263913755449349,0.08200837932426525
RELAX_SHORT_O,20260913,raw,9,terminal_H,1548,0.0180164400828187,0.0966253488523547
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1392,0.01330021718172405,0.05158691210027124
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1404,0.004929807677096961,0.04183331470785432
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1416,0.005603845243510994,0.03630657140122206
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1428,0.006412512347463703,0.04242345240431079
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1440,0.005695179877685586,0.03852693867253681
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1452,0.00626145473838849,0.04794132926802514
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1464,0.04773008987635123,0.16160360992251427
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1476,0.006720778883467915,0.049350838465204536
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1488,0.00999909741442848,0.04005127924997074
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1500,0.00917762798187221,0.04960038544821072
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1512,0.0557373235568832,0.16538359000108918
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1524,0.025068106922819123,0.09821898012224325
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1536,0.01539016526659501,0.08342329034505053
RELAX_SHORT_O,20260913,raw,9,path_1_to_H,1548,0.025944088670390417,0.11426900353229186
RELAX_SHORT_O,20260913,raw,12,terminal_H,1392,0.01249660549706414,0.06285158900962085
RELAX_SHORT_O,20260913,raw,12,terminal_H,1404,0.00827079105651674,0.06388788032281975
RELAX_SHORT_O,20260913,raw,12,terminal_H,1416,0.006910320386853162,0.05260533015886639
RELAX_SHORT_O,20260913,raw,12,terminal_H,1428,0.007811077286251087,0.06115665856383699
RELAX_SHORT_O,20260913,raw,12,terminal_H,1440,0.013118274610820631,0.07213245483453978
RELAX_SHORT_O,20260913,raw,12,terminal_H,1452,0.015105632564565192,0.08706651574625125
RELAX_SHORT_O,20260913,raw,12,terminal_H,1464,0.05326566820829383,0.18851955748327204
RELAX_SHORT_O,20260913,raw,12,terminal_H,1476,0.02250583829225762,0.09419143785076978
RELAX_SHORT_O,20260913,raw,12,terminal_H,1488,0.025458615190619822,0.09253540351224894
RELAX_SHORT_O,20260913,raw,12,terminal_H,1500,0.01966241826485996,0.08468540217595133
RELAX_SHORT_O,20260913,raw,12,terminal_H,1512,0.043451478727939676,0.1496870020526165
RELAX_SHORT_O,20260913,raw,12,terminal_H,1524,0.03920939192761111,0.1465218215562742
RELAX_SHORT_O,20260913,raw,12,terminal_H,1536,0.014673890091092006,0.08575276143504941
RELAX_SHORT_O,20260913,raw,12,terminal_H,1548,0.023559168934056414,0.11388691884867677
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1392,0.01282147343860289,0.053557518131390015
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1404,0.006447180240785407,0.04799785109117334
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1416,0.005526813402584551,0.03893606354967646
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1428,0.006854121128560062,0.046796710469269316
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1440,0.007188289867397052,0.045902149464573085
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1452,0.00835333477241424,0.05709856916444
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1464,0.049421681681168915,0.1683289949615
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1476,0.009581245175084,0.058415506725357384
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1488,0.012944693908312944,0.05138994718881694
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1500,0.011485258405625748,0.05775498391652394
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1512,0.05212010432201593,0.1608956912310251
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1524,0.02749432189334617,0.10781962633716664
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1536,0.018491616157079734,0.09148654052487418
RELAX_SHORT_O,20260913,raw,12,path_1_to_H,1548,0.0252853566530086,0.11358546900072146
RELAX_SHORT_O,20260914,raw,3,terminal_H,1392,0.011839752385000797,0.044299805952005875
RELAX_SHORT_O,20260914,raw,3,terminal_H,1404,0.006402719603452271,0.03977717310667768
RELAX_SHORT_O,20260914,raw,3,terminal_H,1416,0.00364060520673991,0.030612045865001908
RELAX_SHORT_O,20260914,raw,3,terminal_H,1428,0.006705925702829772,0.040044396616417954
RELAX_SHORT_O,20260914,raw,3,terminal_H,1440,0.0038586299233091302,0.030643193535797763
