branch,fold,RMSE,MAE,WAPE,sMAPE,RAE
GT_only,1,0.07693523539673387,0.05081037542668711,0.1854947786784744,0.24553806124781435,0.3814478557171149
GT_only,2,0.09191038598722034,0.05459618536058168,0.1818640101905913,0.2298627396056039,0.3776879658249628
GT_only,3,0.07808775028566108,0.05127552559699007,0.1888866031623046,0.2500190422991358,0.3871342519316479
GT_only,4,0.07194215860478645,0.04657716541180453,0.17911442860843108,0.25261936382962913,0.35644676587235746
GT_only,5,0.06908706301135333,0.04481664421437926,0.18475538628344246,0.26380483812429134,0.3631675619525716
GT_only,6,0.06544424149256806,0.0424236095839088,0.15064331973201966,0.2162677899571868,0.3058372252687778
aligned_KD,1,0.07686495371251534,0.05085567245568199,0.18566066713048612,0.24563781115191702,0.3817888303853106
aligned_KD,2,0.09121802079853088,0.05411372691213022,0.18025618256408532,0.22815666626904763,0.37434911549868627
aligned_KD,3,0.07690790925008932,0.05033025290900242,0.18540089552642178,0.24687778137171137,0.3799911514598189
aligned_KD,4,0.07271883301087338,0.04737853904416254,0.18219517900352694,0.25514283925124426,0.3625773404141268
aligned_KD,5,0.07099958513820195,0.04634243443635366,0.19104593607823123,0.26824834439975015,0.37553247622991065
aligned_KD,6,0.06415828962427896,0.041693906339471454,0.1480501363545666,0.21334505339716325,0.30057121391801594
shuffled_teacher,1,0.0773893589631055,0.051283124281707525,0.18721628769552137,0.24706115879397123,0.38498680145122444
shuffled_teacher,2,0.0909826654985264,0.053840686681885255,0.17934635254574494,0.2276900483038262,0.37245949659650457
shuffled_teacher,3,0.07691275980627388,0.050356553202936576,0.18549747527342325,0.2468442275983317,0.3801892011219757
shuffled_teacher,4,0.07286925480724642,0.04744841642576463,0.18246500904037657,0.25536506266180425,0.36311476003671855
shuffled_teacher,5,0.07154915831299598,0.04674046417217941,0.19268717107532868,0.269559132585344,0.37875866384646073
shuffled_teacher,6,0.06433820753036584,0.04188764701765233,0.1487386199383088,0.2137403186599422,0.30196928637015785
