branch,horizon,RMSE,MAE,WAPE,sMAPE,RAE
GT_only,3,0.06525212476505715,0.038414822146141066,0.1410756085613408,0.20349871065166855,0.28612990089758794
GT_only,6,0.07430712403045431,0.047404109784711594,0.17468308805156366,0.23902871714979126,0.3542729750175273
GT_only,9,0.0807572504561719,0.05333610779386463,0.19685222566388572,0.2623726223392127,0.3993017256082818
GT_only,12,0.0819547239338654,0.05451129733818368,0.20122809549338547,0.26717450656843506,0.40810981618822456
aligned_KD,3,0.06539120083571887,0.038693352044551495,0.14219736642959466,0.2042457121238687,0.28833803239415057
aligned_KD,6,0.07435788502236194,0.04757590715053822,0.17545110841413877,0.2393075775343317,0.35573230743300993
aligned_KD,9,0.08049465215103155,0.05315153455036891,0.19644673736504262,0.26150657164326213,0.3983252954719329
aligned_KD,12,0.08166798968054755,0.05438889431907623,0.20097745222943594,0.26654580259242655,0.4074777833048193
shuffled_teacher,3,0.06557250871656718,0.038820085315762726,0.1426491695055032,0.20461275589815775,0.2892711435348359
shuffled_teacher,6,0.07460468263883296,0.047708671061082515,0.17606033324559564,0.2398019188613554,0.35690661083556674
shuffled_teacher,9,0.08055672812490695,0.05321260586979685,0.19663484407956777,0.2617836075842354,0.3987278032621941
shuffled_teacher,12,0.08196035046536891,0.05462989894144173,0.20195626354846918,0.26730835005839776,0.4094132486494311
