branch,fold,horizon,RMSE,MAE,WAPE,sMAPE,RAE
GT_only,1,3,0.06926813545414895,0.042811465243119504,0.1546256096003514,0.2113612433368326,0.31768040482543397
GT_only,1,6,0.07653673226093369,0.05038144985102673,0.18368370293604758,0.24386393077823237,0.37791258536804334
GT_only,1,9,0.08086217667327184,0.05469680597037289,0.20112521893552243,0.26303436240763717,0.4139576480041548
GT_only,1,12,0.08107389719858103,0.055351780642229294,0.2025445832419761,0.26389270846855534,0.4162407846708277
GT_only,2,3,0.0816474321644025,0.041991835712599485,0.1395469942824253,0.18456273707304285,0.2898744231401507
GT_only,2,6,0.0888217795582035,0.0522671073872889,0.1739685980220542,0.22131660869453454,0.3614641734545928
GT_only,2,9,0.09835277583217505,0.061394376761141345,0.20458388680253858,0.253571569434741,0.424883635936568
GT_only,2,12,0.09881955639410035,0.062731421581297,0.20935656165534716,0.26000004322009723,0.4345296307685395
GT_only,3,3,0.0672248994530605,0.04099248153456704,0.1503927317737851,0.2101806520723812,0.3083705088236592
GT_only,3,6,0.07664886470372965,0.05032525719062958,0.18514556624754383,0.24705067000400832,0.3796019493769861
GT_only,3,9,0.08275475452487614,0.0555053828769178,0.20475644437747936,0.266810501920162,0.41964143874763504
GT_only,3,12,0.08572248246097801,0.05827898078584585,0.21525167025041014,0.2760343451999917,0.44092311077831137
GT_only,4,3,0.06230435107267396,0.03770186370791817,0.144620657651175,0.21681241561365672,0.28774937376845483
GT_only,4,6,0.07087952907793464,0.045755646304482,0.17570335254661643,0.24816930697676287,0.34953492226503224
GT_only,4,9,0.0765963317458,0.05101096145342439,0.19626925469423215,0.27014677084497957,0.39056803510500204
GT_only,4,12,0.07798842252273722,0.05184019018139356,0.19986444954170068,0.27534896188311725,0.3979347323509406
GT_only,5,3,0.057338924712196294,0.03456212861541794,0.14229516749315893,0.22186486524531382,0.2798001665881771
GT_only,5,6,0.06952842095375275,0.04485172968452466,0.1846609808910074,0.2636796551464685,0.3629391940056556
GT_only,5,9,0.07468493867984319,0.04976611361857037,0.20514545780465385,0.2837982512382593,0.4031529041025741
GT_only,5,12,0.07479596769962107,0.050086604939004076,0.20691993894494964,0.2858765808671237,0.4067779831138795
GT_only,6,3,0.05372900573386073,0.03242915806322424,0.11497249056714913,0.17621035056878412,0.23330452823965192
GT_only,6,6,0.06342741762817163,0.0408434682903177,0.1449363276661126,0.21009213129874102,0.2941850256348539
GT_only,6,9,0.0712925252810652,0.04764300608276093,0.16923309136888787,0.23687427818949713,0.3436066917537569
GT_only,6,12,0.0733280173271747,0.04877880589933231,0.17343136932592906,0.24189439977172492,0.35225265544684853
aligned_KD,1,3,0.06912620746076188,0.04285283777853111,0.1547750381114384,0.21153240777766869,0.31798740772112033
aligned_KD,1,6,0.07639119880842604,0.05030673852008407,0.18341131589757595,0.24358439048511873,0.37735217370231494
aligned_KD,1,9,0.08086349692432213,0.05478132684895007,0.20143601003030165,0.2632231077667191,0.41459732089697426
aligned_KD,1,12,0.08107891165655128,0.055481786675162716,0.20302030448262853,0.26421133857816154,0.41721841922083286
aligned_KD,2,3,0.08113429819476226,0.041862472293535326,0.13911709461278346,0.18366487869035136,0.2889814127289529
aligned_KD,2,6,0.08852207572391933,0.05218284431389196,0.17368813236254724,0.2204622016458437,0.3608814344491131
aligned_KD,2,9,0.09699079274249806,0.06008237813843589,0.2002119265046608,0.24969761275401028,0.41580386716022477
aligned_KD,2,12,0.09822491653294387,0.06232721290265771,0.20800757677634985,0.25880197198598515,0.4317297476564543
aligned_KD,3,3,0.06682663769488384,0.0408017339991953,0.1496929194704123,0.20916961352133506,0.306935589239934
aligned_KD,3,6,0.07549976920390539,0.049432297101281296,0.1818603847977483,0.24398037418711946,0.3728663774285218
aligned_KD,3,9,0.08146423230872989,0.05442921407695343,0.2007865141543277,0.2632772999391746,0.41150520042001576
aligned_KD,3,12,0.08384099779283818,0.05665776645857964,0.20926376368319885,0.2710838378392164,0.42865743875080403
aligned_KD,4,3,0.06292475385461928,0.03850034781594476,0.14768356450695902,0.2198137030464125,0.29384358979524655
aligned_KD,4,6,0.07173685860169125,0.04664751776558986,0.17912817152337188,0.25085958759312843,0.35634807532933943
aligned_KD,4,9,0.07742133888056217,0.05180325000879573,0.19931765605415325,0.2723422847007134,0.3966342329474031
aligned_KD,4,12,0.07879238070662084,0.052563040586319804,0.2026513239296236,0.2775557816647226,0.4034834635845181
aligned_KD,5,3,0.058703797704392595,0.035551557295082165,0.14636872792868577,0.22469174338214684,0.28781015672731664
aligned_KD,5,6,0.07123973098687815,0.046250907758375724,0.19042159697818759,0.2678102743181761,0.37426131170247
aligned_KD,5,9,0.07716344001487632,0.0517219768802379,0.2132079010023153,0.28950356469415617,0.41899725875747657
aligned_KD,5,12,0.07689137184666076,0.05184529581171888,0.2141855184037362,0.29098779520452145,0.42106117773237944
aligned_KD,6,3,0.05363151010489332,0.03259116308502032,0.11554685394728892,0.1766019263252978,0.23447003815233297
aligned_KD,6,6,0.06275767680935146,0.04063513744400641,0.1441970489254017,0.20914863697660377,0.2926844719863003
aligned_KD,6,9,0.06906461203520071,0.04609106134884044,0.1637204164444971,0.23099556000479923,0.33241389264950305
aligned_KD,6,12,0.07117935954767032,0.047458263480018636,0.1687362261010786,0.23663409028195218,0.3427164528839274
shuffled_teacher,1,3,0.07020520961798585,0.043621174330569126,0.15755010098448977,0.21410869728859855,0.32368881190122706
shuffled_teacher,1,6,0.07667031041591937,0.05055615242570639,0.1843206440309249,0.24432540510472828,0.3792230339927428
shuffled_teacher,1,9,0.08119693956716885,0.055100328467458236,0.20260900851211416,0.2642492489817402,0.4170115964175355
shuffled_teacher,1,12,0.08148497625134794,0.05585484190309634,0.20438539725455662,0.26556128380081784,0.4200237634933923
shuffled_teacher,2,3,0.08100556517704018,0.04190362676066926,0.1392538588692723,0.1839016698469499,0.2892655067014512
shuffled_teacher,2,6,0.08820871053913054,0.05166807451650505,0.17197474540788144,0.21935872879462975,0.3573214356538268
shuffled_teacher,2,9,0.09666287790601762,0.05976515701818568,0.19915485363935373,0.24918995937880167,0.41360851849674446
shuffled_teacher,2,12,0.0980535083719173,0.06202588843218104,0.2070019522664723,0.25830983519492345,0.4296425255339958
shuffled_teacher,3,3,0.06688633875603471,0.04086159842129976,0.149912549354706,0.209223133751382,0.30738592602399084
shuffled_teacher,3,6,0.07554292278105078,0.049475650855103956,0.1820198823492471,0.244091009904166,0.3731933935310238
shuffled_teacher,3,9,0.0814649110780198,0.05445853351554289,0.2008946720245298,0.2631471048026358,0.41172686633339634
shuffled_teacher,3,12,0.08375686660999022,0.05663043001979969,0.20916279736521015,0.270915661935143,0.4284506185994918
shuffled_teacher,4,3,0.06301352471348388,0.03845830789381694,0.14752230348196485,0.21945558429603568,0.2935227313528292
shuffled_teacher,4,6,0.07186923738436413,0.046678471235656625,0.17924703397867392,0.25102143001931837,0.35658453398805057
shuffled_teacher,4,9,0.077323034079722,0.05162950945646346,0.19864917367811424,0.2719052338778432,0.3953039795232556
shuffled_teacher,4,12,0.07927122305141564,0.053027377117121494,0.2044415250227533,0.27907800245401976,0.4070477952827388
shuffled_teacher,5,3,0.058723580439877146,0.03551283737766963,0.1462093147977746,0.22460887888487832,0.2874966968862617
shuffled_teacher,5,6,0.07278232001623543,0.0474404968557557,0.19531930529678623,0.27145090570353225,0.3838874400867667
shuffled_teacher,5,9,0.07671891417019774,0.05130935847854761,0.21150700887394558,0.28869862636659094,0.41565465683757236
shuffled_teacher,5,12,0.0779718186256736,0.05269916397674471,0.21771305533280833,0.2934781193863744,0.42799586157524216
shuffled_teacher,6,3,0.05360083359498135,0.03256296711055164,0.11544688954481165,0.17637857132110216,0.23426718834325544
shuffled_teacher,6,6,0.06255459469629754,0.04043318047776738,0.14348038841006017,0.20856403364175788,0.2912298277609897
shuffled_teacher,6,9,0.06997369194831574,0.047012748282583214,0.16699434774934904,0.2335114720978008,0.3390612019646601
shuffled_teacher,6,12,0.07122370988186877,0.047541692199707095,0.1690328540490144,0.23650719757910801,0.34331892741172615
