system,information,future_hour,mse,rmse,mae_same_mean,mae_median_separate,gamma_to_I4
M_r1,I0,1,0.1814843182823167,0.42600976313027933,0.3629686365646332,0.24999999999999967,0.0010451076346571764
M_r1,I0,2,0.18749908412956076,0.4330116443348386,0.37499816825912075,0.24999999999999967,0.00017102998118786048
M_r1,I0,3,0.1874618247971844,0.43296861872101583,0.3749236495943684,0.24999999999999975,8.274248213525758e-06
M_r1,I0,4,0.18749410481320164,0.4330058946633425,0.37498820962640345,0.24999999999999944,3.501434540887953e-08
M_r1,I0,5,0.18749972871151657,0.4330123886351481,0.37499945742303337,0.24999999999999953,1.934633943387662e-08
M_r1,I0,6,0.1874999991353718,0.43301270089383265,0.37499999827074326,0.2499999999999996,4.933586940730117e-09
M_r1,I0,7,0.18749999927116373,0.43301270105063167,0.3749999985423277,0.24999999999999936,3.2502225231478897e-10
M_r1,I0,8,0.18749999982794818,0.433012701693551,0.3749999996558961,0.24999999999999958,4.195610255639357e-12
M_r1,I0,9,0.18749999998917302,0.4330127018797174,0.3749999999783462,0.24999999999999928,2.6787076340290034e-13
M_r1,I0,10,0.18749999999987574,0.43301270189207586,0.37499999999975153,0.24999999999999895,1.31275598837696e-13
M_r1,I0,11,0.18749999999998862,0.4330127018922062,0.3749999999999777,0.2499999999999996,1.1647695850725438e-14
M_r1,I0,12,0.18749999999999478,0.4330127018922133,0.37499999999999006,0.2499999999999993,2.757187593435323e-16
M_r1,I1,1,0.181371091845441,0.4258768505629779,0.36274218369088196,0.24999999999999967,0.0009318811977814123
M_r1,I1,2,0.1874805548271935,0.43299024795853486,0.37496110965438667,0.24999999999999967,0.00015250067882066208
M_r1,I1,3,0.18746092836928363,0.4329675835086082,0.3749218567385675,0.24999999999999975,7.377820312728255e-06
M_r1,I1,4,0.18749410101976516,0.43300589028299047,0.37498820203953015,0.24999999999999944,3.122090879171918e-08
M_r1,I1,5,0.18749972661554426,0.43301238621492605,0.3749994532310879,0.24999999999999953,1.725036672441859e-08
M_r1,I1,6,0.18749999860086924,0.4330127002766423,0.37499999720173927,0.2499999999999996,4.399084606433709e-09
M_r1,I1,7,0.187499999235951,0.4330127010099715,0.3749999984719014,0.24999999999999936,2.89809504541659e-10
M_r1,I1,8,0.18749999982749355,0.433012701693026,0.3749999996549872,0.24999999999999958,3.741059945198973e-12
M_r1,I1,9,0.18749999998914407,0.433012701879684,0.3749999999782881,0.24999999999999928,2.388497792716787e-13
M_r1,I1,10,0.18749999999986153,0.4330127018920594,0.3749999999997238,0.24999999999999895,1.1705326630901234e-13
M_r1,I1,11,0.18749999999998762,0.43301270189220503,0.374999999999975,0.2499999999999996,1.038579032647183e-14
M_r1,I1,12,0.18749999999999475,0.43301270189221325,0.37499999999999,0.2499999999999993,2.4584752726876055e-16
M_r1,I2,1,0.18112182302795687,0.4255840963052507,0.3622436460559139,0.24999999999999967,0.0006826123802974848
M_r1,I2,2,0.18743976243438035,0.43294313995532985,0.37487952486876097,0.24999999999999967,0.00011170828600747489
M_r1,I2,3,0.18745895487679404,0.43296530447230297,0.37491790975358796,0.24999999999999975,5.40432782319089e-06
M_r1,I2,4,0.18749409266848707,0.4330058806396133,0.3749881853369738,0.24999999999999944,2.286963071698407e-08
