stage,model,horizon,target_scope,postprocess,scored_values,rmse,mae
SELECT,O_LONG_D24,9,path_1_to_H,raw,34650,0.07460011490571872,0.04553325151842153
SELECT,O_LONG_D24,12,terminal_H,raw,3850,0.0929317570080736,0.06107621784246454
SELECT,O_LONG_D24,12,path_1_to_H,raw,46200,0.07894290729914209,0.04924828788708051
SELECT,O_LONG_D24,3,terminal_H,clip_0_1,3850,0.07124313992877862,0.04170253452647857
SELECT,O_LONG_D24,3,path_1_to_H,clip_0_1,11550,0.06546515657389322,0.03708502229952953
SELECT,O_LONG_D24,6,terminal_H,clip_0_1,3850,0.07652841942327865,0.04791340610879833
SELECT,O_LONG_D24,6,path_1_to_H,clip_0_1,23100,0.07019124673531438,0.04152300789302425
SELECT,O_LONG_D24,9,terminal_H,clip_0_1,3850,0.08509064622062962,0.05745329488836431
SELECT,O_LONG_D24,9,path_1_to_H,clip_0_1,34650,0.07459610375129143,0.04551634021228803
SELECT,O_LONG_D24,12,terminal_H,clip_0_1,3850,0.09292180676016791,0.061054671382761695
SELECT,O_LONG_D24,12,path_1_to_H,clip_0_1,46200,0.07893780338470481,0.04923209556746626
SELECT,O24_D_LONG,3,terminal_H,raw,3850,0.07186534722993178,0.04160396832892951
SELECT,O24_D_LONG,3,path_1_to_H,raw,11550,0.06548389042001648,0.03663154559816718
SELECT,O24_D_LONG,6,terminal_H,raw,3850,0.07659350668411634,0.047642121600921544
SELECT,O24_D_LONG,6,path_1_to_H,raw,23100,0.07001766989091136,0.04109638637705695
SELECT,O24_D_LONG,9,terminal_H,raw,3850,0.08447148011036668,0.05690172879660518
SELECT,O24_D_LONG,9,path_1_to_H,raw,34650,0.07441319309228077,0.0450335732378204
SELECT,O24_D_LONG,12,terminal_H,raw,3850,0.09356524279981847,0.06082296791552546
SELECT,O24_D_LONG,12,path_1_to_H,raw,46200,0.0788545080325743,0.04879227678521765
SELECT,O24_D_LONG,3,terminal_H,clip_0_1,3850,0.07186282803880754,0.04158838710783974
SELECT,O24_D_LONG,3,path_1_to_H,clip_0_1,11550,0.06545970471722234,0.03659478469700474
SELECT,O24_D_LONG,6,terminal_H,clip_0_1,3850,0.07659194304933498,0.04763756676480676
SELECT,O24_D_LONG,6,path_1_to_H,clip_0_1,23100,0.07000575858946158,0.04107397932015139
SELECT,O24_D_LONG,9,terminal_H,clip_0_1,3850,0.08446958039448317,0.056893612455019026
SELECT,O24_D_LONG,9,path_1_to_H,clip_0_1,34650,0.07440544892319705,0.04501724022941953
SELECT,O24_D_LONG,12,terminal_H,clip_0_1,3850,0.09355899315312916,0.06080622897535643
SELECT,O24_D_LONG,12,path_1_to_H,clip_0_1,46200,0.07884765319892933,0.04877765642536867
SELECT,O_LONG_D0,3,terminal_H,raw,3850,0.07254595408261659,0.04228604947266097
SELECT,O_LONG_D0,3,path_1_to_H,raw,11550,0.06705230692496304,0.037923790192128666
SELECT,O_LONG_D0,6,terminal_H,raw,3850,0.07763649205426651,0.0484143014574052
SELECT,O_LONG_D0,6,path_1_to_H,raw,23100,0.07153310782741298,0.04223856803238919
SELECT,O_LONG_D0,9,terminal_H,raw,3850,0.08560587182580258,0.05779401976221348
SELECT,O_LONG_D0,9,path_1_to_H,raw,34650,0.0757934605964259,0.04613305791219433
SELECT,O_LONG_D0,12,terminal_H,raw,3850,0.0931671670892685,0.061166902440160674
SELECT,O_LONG_D0,12,path_1_to_H,raw,46200,0.07985927380032512,0.04972858387407982
SELECT,O_LONG_D0,3,terminal_H,clip_0_1,3850,0.07252995152063568,0.04226449669932073
SELECT,O_LONG_D0,3,path_1_to_H,clip_0_1,11550,0.06703975991134897,0.03789121135798397
SELECT,O_LONG_D0,6,terminal_H,clip_0_1,3850,0.07763531526710431,0.04840886957886396
SELECT,O_LONG_D0,6,path_1_to_H,clip_0_1,23100,0.07152288122546054,0.04221765576893395
SELECT,O_LONG_D0,9,terminal_H,clip_0_1,3850,0.08559239315652638,0.05777897004320448
SELECT,O_LONG_D0,9,path_1_to_H,clip_0_1,34650,0.07578511292641749,0.046115479071089496
SELECT,O_LONG_D0,12,terminal_H,clip_0_1,3850,0.09315395462579716,0.061140319666085144
SELECT,O_LONG_D0,12,path_1_to_H,clip_0_1,46200,0.07984960248103082,0.04971033229872646
SELECT,O_LONG_DUP,3,terminal_H,raw,3850,0.07250513388896533,0.04224551435572349
SELECT,O_LONG_DUP,3,path_1_to_H,raw,11550,0.06690362620483699,0.03784259959828516
SELECT,O_LONG_DUP,6,terminal_H,raw,3850,0.07766059428153624,0.04846142345085625
SELECT,O_LONG_DUP,6,path_1_to_H,raw,23100,0.07148134517958142,0.04221052066005381
SELECT,O_LONG_DUP,9,terminal_H,raw,3850,0.08557927178250042,0.05780573935440268
SELECT,O_LONG_DUP,9,path_1_to_H,raw,34650,0.07577437641710606,0.046135179785828734
SELECT,O_LONG_DUP,12,terminal_H,raw,3850,0.09304595956949169,0.06123707636938063
SELECT,O_LONG_DUP,12,path_1_to_H,raw,46200,0.07986104528860963,0.049751779550361655
SELECT,O_LONG_DUP,3,terminal_H,clip_0_1,3850,0.07248848150921039,0.04222318821461526
SELECT,O_LONG_DUP,3,path_1_to_H,clip_0_1,11550,0.06689017091431926,0.03780851894642068
SELECT,O_LONG_DUP,6,terminal_H,clip_0_1,3850,0.0776592354438989,0.04845568713525927
SELECT,O_LONG_DUP,6,path_1_to_H,clip_0_1,23100,0.07146925953122908,0.042188541564398885
SELECT,O_LONG_DUP,9,terminal_H,clip_0_1,3850,0.08557277330730897,0.05779387592444648
SELECT,O_LONG_DUP,9,path_1_to_H,clip_0_1,34650,0.07576564823586145,0.046117166969075946
SELECT,O_LONG_DUP,12,terminal_H,clip_0_1,3850,0.09303428115793357,0.06121342286056124
SELECT,O_LONG_DUP,12,path_1_to_H,clip_0_1,46200,0.07985189962131632,0.049733949241688426
DEV_EVAL,S,3,terminal_H,raw,3850,0.12132177619914317,0.07256961535182926
DEV_EVAL,S,3,path_1_to_H,raw,11550,0.12197233720362655,0.06730173179150718
DEV_EVAL,S,6,terminal_H,raw,3850,0.12763853074908654,0.08157940282862278
DEV_EVAL,S,6,path_1_to_H,raw,23100,0.1289990066004327,0.07535513834758438
DEV_EVAL,S,9,terminal_H,raw,3850,0.13119914867735577,0.09470397991494683
DEV_EVAL,S,9,path_1_to_H,raw,34650,0.12952917962008717,0.08050587334320647
DEV_EVAL,S,12,terminal_H,raw,3850,0.1467445035632589,0.10616658993939136
DEV_EVAL,S,12,path_1_to_H,raw,46200,0.13385631920841534,0.08670082323549864
DEV_EVAL,S,3,terminal_H,clip_0_1,3850,0.12132177619914317,0.07256961535182926
DEV_EVAL,S,3,path_1_to_H,clip_0_1,11550,0.12197233720362655,0.06730173179150718
DEV_EVAL,S,6,terminal_H,clip_0_1,3850,0.12763853074908654,0.08157940282862278
DEV_EVAL,S,6,path_1_to_H,clip_0_1,23100,0.1289990066004327,0.07535513834758438
DEV_EVAL,S,9,terminal_H,clip_0_1,3850,0.13119914867735577,0.09470397991494683
DEV_EVAL,S,9,path_1_to_H,clip_0_1,34650,0.12952917962008717,0.08050587334320647
DEV_EVAL,S,12,terminal_H,clip_0_1,3850,0.1467445035632589,0.10616658993939136
DEV_EVAL,S,12,path_1_to_H,clip_0_1,46200,0.13385631920841534,0.08670082323549864
DEV_EVAL,O_LONG,3,terminal_H,raw,3850,0.11020993779988533,0.0639863826733427
DEV_EVAL,O_LONG,3,path_1_to_H,raw,11550,0.11007217841247786,0.05980213835284731
DEV_EVAL,O_LONG,6,terminal_H,raw,3850,0.11775934008075553,0.07285289665010732
DEV_EVAL,O_LONG,6,path_1_to_H,raw,23100,0.11777545970266881,0.06729275211959636
DEV_EVAL,O_LONG,9,terminal_H,raw,3850,0.11455655874630534,0.07451312323596518
DEV_EVAL,O_LONG,9,path_1_to_H,raw,34650,0.11667223374473065,0.06896036464165199
DEV_EVAL,O_LONG,12,terminal_H,raw,3850,0.11945699203021568,0.07879487707252068
DEV_EVAL,O_LONG,12,path_1_to_H,raw,46200,0.1174228217074527,0.07132171023669794
DEV_EVAL,O_LONG,3,terminal_H,clip_0_1,3850,0.11020456414457852,0.06396922166050287
DEV_EVAL,O_LONG,3,path_1_to_H,clip_0_1,11550,0.11005995180679998,0.05977838834486859
DEV_EVAL,O_LONG,6,terminal_H,clip_0_1,3850,0.11775715858591349,0.07284479099528389
DEV_EVAL,O_LONG,6,path_1_to_H,clip_0_1,23100,0.11776623976245174,0.06727571013799014
DEV_EVAL,O_LONG,9,terminal_H,clip_0_1,3850,0.1145563762625907,0.07450846789775521
DEV_EVAL,O_LONG,9,path_1_to_H,clip_0_1,34650,0.11666595936441716,0.06894773958749356
DEV_EVAL,O_LONG,12,terminal_H,clip_0_1,3850,0.11945277001499337,0.07878142518038522
DEV_EVAL,O_LONG,12,path_1_to_H,clip_0_1,46200,0.11741680739898823,0.07130903828452081
DEV_EVAL,D_LONG,3,terminal_H,raw,3850,0.11333882021785135,0.06263550714674654
DEV_EVAL,D_LONG,3,path_1_to_H,raw,11550,0.11264916411895343,0.05856120863501529
DEV_EVAL,D_LONG,6,terminal_H,raw,3850,0.11657538971216877,0.06602976809975011
DEV_EVAL,D_LONG,6,path_1_to_H,raw,23100,0.12042036944676252,0.06436118755207644
