stage,candidate,reference,horizon,target_scope,postprocess,origin,mse_gain,mae_gain
SELECT,O_LONG,S,9,terminal_H,raw,1080,0.0052079217325500336,0.016044937476921668
SELECT,O_LONG,S,9,terminal_H,raw,1092,0.0053064641951757995,0.02452242292535281
SELECT,O_LONG,S,9,terminal_H,raw,1104,0.0022230428807676673,0.015126675556907847
SELECT,O_LONG,S,9,terminal_H,raw,1116,0.013939957262525327,0.049953912791071614
SELECT,O_LONG,S,9,terminal_H,raw,1128,0.00409298677242801,0.02152634416969164
SELECT,O_LONG,S,9,terminal_H,raw,1140,0.013087426794183954,0.050137288962420916
SELECT,O_LONG,S,9,terminal_H,raw,1152,0.0029691704036178316,0.019465443028798345
SELECT,O_LONG,S,9,terminal_H,raw,1164,0.013892553525238065,0.05061466618683711
SELECT,O_LONG,S,9,terminal_H,raw,1176,0.005585506361863614,0.031025104144168737
SELECT,O_LONG,S,9,terminal_H,raw,1188,0.013236081144893531,0.05015933157250461
SELECT,O_LONG,S,9,terminal_H,raw,1200,0.004461204894664003,0.021351888316313055
SELECT,O_LONG,S,9,terminal_H,raw,1212,0.012828204138842109,0.04120882961214768
SELECT,O_LONG,S,9,path_1_to_H,raw,1056,0.004727600391185095,0.022089565080671787
SELECT,O_LONG,S,9,path_1_to_H,raw,1068,0.00029953192759119213,0.0053464161979453004
SELECT,O_LONG,S,9,path_1_to_H,raw,1080,0.005369616041340137,0.02413267521103725
SELECT,O_LONG,S,9,path_1_to_H,raw,1092,0.0011135077993102602,0.005042535993196571
SELECT,O_LONG,S,9,path_1_to_H,raw,1104,0.003491596513759829,0.018913678502569628
SELECT,O_LONG,S,9,path_1_to_H,raw,1116,0.00296596243785307,0.011511778653767828
SELECT,O_LONG,S,9,path_1_to_H,raw,1128,0.005763724038820454,0.021812343561024735
SELECT,O_LONG,S,9,path_1_to_H,raw,1140,0.003453905809030123,0.012268642948777414
SELECT,O_LONG,S,9,path_1_to_H,raw,1152,0.003635138460194528,0.02205443939545297
SELECT,O_LONG,S,9,path_1_to_H,raw,1164,0.0032744698512713177,0.012665333432810113
SELECT,O_LONG,S,9,path_1_to_H,raw,1176,0.0075593393702555285,0.028264465685691496
SELECT,O_LONG,S,9,path_1_to_H,raw,1188,0.003835201433150155,0.01450017039583173
SELECT,O_LONG,S,9,path_1_to_H,raw,1200,0.005279653065718897,0.019275949373068736
SELECT,O_LONG,S,9,path_1_to_H,raw,1212,0.003382664401021534,0.01334849787718568
SELECT,O_LONG,S,12,terminal_H,raw,1056,-0.007593991637369372,-0.02395199707319823
SELECT,O_LONG,S,12,terminal_H,raw,1068,0.00900903253244623,0.0469545237053957
SELECT,O_LONG,S,12,terminal_H,raw,1080,-0.004541335594692773,-0.018771787206469128
SELECT,O_LONG,S,12,terminal_H,raw,1092,0.00904856665269609,0.04302632258847125
SELECT,O_LONG,S,12,terminal_H,raw,1104,0.010933390891864047,0.03047091288104073
SELECT,O_LONG,S,12,terminal_H,raw,1116,0.02217604840529502,0.07129292033068507
SELECT,O_LONG,S,12,terminal_H,raw,1128,0.014670068493734948,0.04834136226535969
SELECT,O_LONG,S,12,terminal_H,raw,1140,0.022031534234892625,0.07348460918769552
SELECT,O_LONG,S,12,terminal_H,raw,1152,0.013455750109142179,0.04554048340150205
SELECT,O_LONG,S,12,terminal_H,raw,1164,0.020905863740782366,0.0698958923389424
SELECT,O_LONG,S,12,terminal_H,raw,1176,0.016709167385326608,0.059243876185649136
SELECT,O_LONG,S,12,terminal_H,raw,1188,0.023561891944685283,0.08031352457101015
SELECT,O_LONG,S,12,terminal_H,raw,1200,0.01781456800724933,0.054026451680830354
SELECT,O_LONG,S,12,terminal_H,raw,1212,0.022157209950027533,0.06610685604548995
SELECT,O_LONG,S,12,path_1_to_H,raw,1056,0.0020597132819427564,0.01117054252830702
SELECT,O_LONG,S,12,path_1_to_H,raw,1068,0.0019336280124474551,0.013870049896791503
SELECT,O_LONG,S,12,path_1_to_H,raw,1080,0.003168210129210957,0.014831913017115774
SELECT,O_LONG,S,12,path_1_to_H,raw,1092,0.002861622845592912,0.013286144870418473
SELECT,O_LONG,S,12,path_1_to_H,raw,1104,0.005088707172458927,0.0217023957976685
SELECT,O_LONG,S,12,path_1_to_H,raw,1116,0.007208922461697149,0.025069198681560344
SELECT,O_LONG,S,12,path_1_to_H,raw,1128,0.0077026308540003915,0.027560395383355047
SELECT,O_LONG,S,12,path_1_to_H,raw,1140,0.007745126948067186,0.025901901929151837
SELECT,O_LONG,S,12,path_1_to_H,raw,1152,0.005951287476332122,0.02786958946511982
SELECT,O_LONG,S,12,path_1_to_H,raw,1164,0.00740909977661566,0.02642109691424574
SELECT,O_LONG,S,12,path_1_to_H,raw,1176,0.009542170558563748,0.03470189652037187
SELECT,O_LONG,S,12,path_1_to_H,raw,1188,0.008029338792574003,0.028687855364272947
SELECT,O_LONG,S,12,path_1_to_H,raw,1200,0.007929115851825494,0.027261828294940508
SELECT,O_LONG,S,12,path_1_to_H,raw,1212,0.00719319397677961,0.02440034332700793
SELECT,D_LONG,S,3,terminal_H,raw,1056,0.0039357904270675105,0.02243731468808159
SELECT,D_LONG,S,3,terminal_H,raw,1068,-0.0003152643130614153,-0.00041215971473996784
SELECT,D_LONG,S,3,terminal_H,raw,1080,0.004140290554419558,0.022615965246349623
SELECT,D_LONG,S,3,terminal_H,raw,1092,-0.00010059918488352843,-0.00045087510787002123
SELECT,D_LONG,S,3,terminal_H,raw,1104,0.0025776922059416204,0.01803245238180482
SELECT,D_LONG,S,3,terminal_H,raw,1116,0.0008441324873229867,0.0018872292919360379
SELECT,D_LONG,S,3,terminal_H,raw,1128,0.0036147749593228398,0.02036983321092796
SELECT,D_LONG,S,3,terminal_H,raw,1140,0.0008884010031408691,0.001745458823900868
SELECT,D_LONG,S,3,terminal_H,raw,1152,0.0029734859480911755,0.021658024697944245
SELECT,D_LONG,S,3,terminal_H,raw,1164,0.0007293167197995187,0.002256026061526069
SELECT,D_LONG,S,3,terminal_H,raw,1176,0.00687876566702167,0.02660063631645662
SELECT,D_LONG,S,3,terminal_H,raw,1188,0.0011817434316329675,0.003587226580715349
SELECT,D_LONG,S,3,terminal_H,raw,1200,0.00596634712827281,0.015223074571259746
SELECT,D_LONG,S,3,terminal_H,raw,1212,0.000684511978743532,0.005629471951866969
SELECT,D_LONG,S,3,path_1_to_H,raw,1056,0.003704592048618734,0.017922839490243595
SELECT,D_LONG,S,3,path_1_to_H,raw,1068,8.698006095479236e-05,-8.326811007873083e-05
SELECT,D_LONG,S,3,path_1_to_H,raw,1080,0.00398296101351555,0.017736363724052417
SELECT,D_LONG,S,3,path_1_to_H,raw,1092,3.377363181503224e-05,-0.0002999558109957409
SELECT,D_LONG,S,3,path_1_to_H,raw,1104,0.0024955771812945953,0.014424093595191955
SELECT,D_LONG,S,3,path_1_to_H,raw,1116,0.0012728223190195639,0.004213508172329289
SELECT,D_LONG,S,3,path_1_to_H,raw,1128,0.0038595899217669176,0.017138327237840003
SELECT,D_LONG,S,3,path_1_to_H,raw,1140,0.0014392118365053122,0.0026686905620948546
SELECT,D_LONG,S,3,path_1_to_H,raw,1152,0.0032259770067706865,0.0163985896506591
SELECT,D_LONG,S,3,path_1_to_H,raw,1164,0.0014193935252481626,0.00325317692898387
SELECT,D_LONG,S,3,path_1_to_H,raw,1176,0.006215681196884963,0.02124082593424178
SELECT,D_LONG,S,3,path_1_to_H,raw,1188,0.0018309851331661763,0.005333120878787207
SELECT,D_LONG,S,3,path_1_to_H,raw,1200,0.0038361062594412273,0.011558456402778845
SELECT,D_LONG,S,3,path_1_to_H,raw,1212,0.0010638428589792148,0.004697215732815647
SELECT,D_LONG,S,6,terminal_H,raw,1056,0.006981098706136803,0.03369661637081704
SELECT,D_LONG,S,6,terminal_H,raw,1068,-0.0003961363542650954,0.0008631507925378945
SELECT,D_LONG,S,6,terminal_H,raw,1080,0.004700516573688581,0.030268411119457717
SELECT,D_LONG,S,6,terminal_H,raw,1092,-0.00014116391163338722,0.0015661092623923984
SELECT,D_LONG,S,6,terminal_H,raw,1104,0.004246198404090676,0.028169374201925418
SELECT,D_LONG,S,6,terminal_H,raw,1116,0.0005371718801203268,0.0032303544003120634
SELECT,D_LONG,S,6,terminal_H,raw,1128,0.005208368563099026,0.028287382460769728
SELECT,D_LONG,S,6,terminal_H,raw,1140,0.001221433621578776,0.006831810269620911
SELECT,D_LONG,S,6,terminal_H,raw,1152,0.003288401553461234,0.02683244321006227
SELECT,D_LONG,S,6,terminal_H,raw,1164,0.0011019056996450964,0.0028884107613082995
SELECT,D_LONG,S,6,terminal_H,raw,1176,0.008452140714680522,0.03469102845799097
SELECT,D_LONG,S,6,terminal_H,raw,1188,0.001730672977850459,0.008706052082603348
SELECT,D_LONG,S,6,terminal_H,raw,1200,0.005929807330143093,0.022838488848196902
SELECT,D_LONG,S,6,terminal_H,raw,1212,0.000785475204724144,0.0035797375643571196
SELECT,D_LONG,S,6,path_1_to_H,raw,1056,0.004725214018533314,0.023964948353834285
SELECT,D_LONG,S,6,path_1_to_H,raw,1068,-0.0001917350839701281,-0.0005789044185910456
SELECT,D_LONG,S,6,path_1_to_H,raw,1080,0.004012812571873298,0.022231650550063223
SELECT,D_LONG,S,6,path_1_to_H,raw,1092,-4.480445771112014e-05,0.0004455961589949023
SELECT,D_LONG,S,6,path_1_to_H,raw,1104,0.003013548636568214,0.019607873823935276
