phase,dataset,series,K,scope,model_A,model_B,panel_start,independent_width,width_reduction,active_ambiguous_windows,components,mixed_sign_components,independent_bounds_provably_exact
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,7746,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,7914,0.1064484049235262,0.003888953349838,23,1,1,False
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,7914,0.0810147575609782,0.0035059284900713,23,1,1,False
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,7914,0.030876756779387,0.0058261342766058,23,1,1,False
initial,beijing,Changping,24,fixed_panel,constant,logistic,8082,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,8250,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,8418,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,logistic,8586,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,constant,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Changping,24,fixed_panel,logistic,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,full_station,constant,logistic,6570,0.0084553633697558,1.1102230246251563e-16,29,3,0,True
initial,beijing,Dingling,24,full_station,constant,hist_gradient_boosting,6570,0.0071681509374243,8.326672684688674e-17,29,3,0,True
initial,beijing,Dingling,24,full_station,logistic,hist_gradient_boosting,6570,0.0028340151792167,0.0015468027468851,29,3,1,False
initial,beijing,Dingling,24,fixed_panel,constant,logistic,6570,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,6738,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,6906,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7074,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7746,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,7914,0.1038388347776412,-2.775557561562892e-17,23,1,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,7914,0.0889918969692547,2.775557561562892e-17,23,1,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,7914,0.0379636381704568,0.0231167003620702,23,1,1,False
initial,beijing,Dingling,24,fixed_panel,constant,logistic,8082,0.0190788802798561,2.775557561562892e-17,5,1,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,8082,0.0171242269385738,-4.163336342344337e-17,5,1,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,8082,0.0019546533412822,1.3877787807814457e-17,5,1,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,8250,0.0034462326822331,-5.551115123125783e-17,1,1,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,8250,0.0010106559638848,0.0,1,1,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,8250,0.0024355767183483,0.0,1,1,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,8418,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,logistic,8586,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,constant,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Dingling,24,fixed_panel,logistic,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,full_station,constant,logistic,6570,0.0060368047660706,5.551115123125783e-17,23,1,0,True
initial,beijing,Dongsi,24,full_station,constant,hist_gradient_boosting,6570,0.0042774940664256,0.0004140050653151,23,1,1,False
initial,beijing,Dongsi,24,full_station,logistic,hist_gradient_boosting,6570,0.0022882909486062,0.0001004052626391,23,1,1,False
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,6570,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,6738,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,6906,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7074,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7746,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,7914,0.0902190064005181,8.326672684688674e-17,23,1,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,7914,0.0639264113237547,0.006187234320951,23,1,1,False
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,7914,0.0341981136939989,0.0015005393388901,23,1,1,False
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,8082,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,8250,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,8418,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,logistic,8586,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,constant,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Dongsi,24,fixed_panel,logistic,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,full_station,constant,logistic,6570,0.0069713858725028,-1.1102230246251563e-16,27,3,0,True
initial,beijing,Guanyuan,24,full_station,constant,hist_gradient_boosting,6570,0.0056631095450155,0.001247411680999,27,3,1,False
initial,beijing,Guanyuan,24,full_station,logistic,hist_gradient_boosting,6570,0.0030110669106454,0.0003962002364563,27,3,1,False
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,6570,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,6738,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,6906,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7074,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
