dataset,K,L,training_windows,positive_training_windows,features,constant_probability,fit_seconds
beijing,24,3,49341,34263,41,0.694404474798857,3.7659515000123065
beijing,72,3,49025,45944,41,0.9371366797886879,1.2863940999959596
household,60,5,63301,18584,30,0.29358798161224586,1.1900629000010667
household,180,5,63181,29882,30,0.47295949859930675,1.0919345999864163
