dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
beijing,Aotizhongxin,fixed_panel,natural,24,3,7578,constant,logistic,145,0,0,0.0649374856014018,0.0649374856014018,0.06493748560140175,0.06493748560140175,64,9.890001092571765e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7578,constant,hist_gradient_boosting,145,0,0,0.06694260465743126,0.06694260465743126,0.06694260465743121,0.06694260465743121,64,9.760000102687627e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7578,logistic,hist_gradient_boosting,145,0,0,0.002005119056029459,0.002005119056029459,0.002005119056029453,0.002005119056029453,64,0.00012070000229869038,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7746,constant,logistic,145,1,0,0.032210980817277406,0.032210980817277406,0.032210980817277406,0.032210980817277406,64,0.00014980000560171902,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7746,constant,hist_gradient_boosting,145,1,0,0.02048805916199056,0.02048805916199056,0.02048805916199053,0.02048805916199053,64,9.73999995039776e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7746,logistic,hist_gradient_boosting,145,1,0,-0.01172292165528686,-0.01172292165528686,-0.011722921655286836,-0.011722921655286836,64,9.169999975711107e-05,,,0.0,0.0,0.0,0.0,A,A,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7914,constant,logistic,145,5,23,-0.000634779736327668,0.0801735539031767,-0.0006067773092625173,0.08014555147611159,64,0.00011159999121446162,,,0.08080833363950436,0.08075232878537411,5.6004854130251025e-05,0.0006930579014300106,UNRESOLVED,UNRESOLVED,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7914,constant,hist_gradient_boosting,145,5,23,0.004225271747324456,0.08019056746652464,0.015159054241004818,0.06784536135156821,64,0.00010230000771116465,,,0.07596529571920019,0.05268630711056339,0.023278988608636794,0.3064424141082234,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,7914,logistic,hist_gradient_boosting,145,5,23,-0.015382446674173296,0.02025951172117339,-0.012300190124543366,0.017177255171543462,64,8.97999998414889e-05,,,0.03564195839534669,0.029477445296086827,0.006164513099259861,0.17295663248584797,UNRESOLVED,UNRESOLVED,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8082,constant,logistic,145,0,0,0.08330884117074715,0.08330884117074715,0.0833088411707471,0.0833088411707471,64,0.00011170000652782619,,,0.0,0.0,0.0,0.0,B,B,False
