epoch,stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
20,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.0651336822828383,0.03702705581952399
20,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,clip_0_1,3850,0.0713292396550332,0.041820885961971685
20,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06510355010953343,0.03697795358165701
20,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,raw,3850,0.07660368362433746,0.047635584967981065
20,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.06996003410674295,0.04141345290893086
20,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07658555599340118,0.04758206531238187
20,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06993272360531934,0.0413679993186114
20,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,raw,3850,0.08329118792533431,0.05591120300574768
20,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.07415631573125057,0.045098960122663456
20,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08328504198101723,0.05589851165853197
20,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07413386851957768,0.045057304340335745
20,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,raw,3850,0.09165640969883264,0.059674674242550366
20,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.07827299220655166,0.04862778481087273
20,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09164724196298342,0.059656935360317326
20,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07825512499879239,0.04859367388759153
40,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,raw,3850,0.07114766126792237,0.041616633542526094
40,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.0649738892752759,0.03690623380702426
40,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07113800261380787,0.041591962857125915
40,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06494723768060343,0.03686108921723197
40,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,raw,3850,0.07650313066600505,0.04755082353023181
40,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.06980951005475097,0.041271932454329696
40,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0764918752199347,0.047509180011816435
40,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06979026113330428,0.04123199421269319
40,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,raw,3850,0.08344251269018409,0.05587685645267958
40,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.07408147514069297,0.04498921973256255
40,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08343462503212727,0.0558595362672832
40,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.0740635881178166,0.04495082365774631
40,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,raw,3850,0.09159336847468288,0.059687969706605865
40,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.07823671323576781,0.04854417558789402
40,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,clip_0_1,3850,0.0915798712871175,0.05965883282974446
