model,seed,epoch,lr,training_mse,optimizer_steps,selection_rmse
OD_PRODUCT,20260913,0,0.0,0.006343893644747128,0,0.0814268562489681
OD_PRODUCT,20260913,1,0.001,0.006324064135876197,59,
OD_PRODUCT,20260913,2,0.0009985407886603944,0.006237312416167564,118,
OD_PRODUCT,20260913,3,0.0009941726181870608,0.006174707071992521,177,
OD_PRODUCT,20260913,4,0.0009869238178417234,0.006114197687534697,236,
OD_PRODUCT,20260913,5,0.0009768413988762155,0.006069399971428342,295,0.08125034589030405
OD_PRODUCT,20260913,6,0.000963990749646471,0.006034310406152021,354,
OD_PRODUCT,20260913,7,0.0009484552115439444,0.0060064644197094065,413,
OD_PRODUCT,20260913,8,0.0009303355384947077,0.0059735716676402135,472,
OD_PRODUCT,20260913,9,0.0009097492435315756,0.005950256811610306,531,
OD_PRODUCT,20260913,10,0.0008868298366769955,0.005927701239300534,590,0.081071318153822
OD_PRODUCT,20260913,11,0.0008617259590793198,0.005906990605358911,649,
OD_PRODUCT,20260913,12,0.0008346004190179199,0.005890181431923357,708,
OD_PRODUCT,20260913,13,0.0008056291360290202,0.005872241392284755,767,
OD_PRODUCT,20260913,14,0.0007750000000000001,0.005861956236204353,826,
OD_PRODUCT,20260913,15,0.0007429116526313744,0.005849409605186601,885,
OD_PRODUCT,20260913,16,0.0007095721991691411,0.005831260128335655,944,
OD_PRODUCT,20260913,17,0.0006751978587624037,0.005825006286661968,1003,
OD_PRODUCT,20260913,18,0.00064001156219922,0.0058170695171988,1062,
OD_PRODUCT,20260913,19,0.0006042415061148954,0.005799515145568308,1121,
OD_PRODUCT,20260913,20,0.0005681196730492369,0.005791970544667499,1180,0.08072313449197344
OD_PRODUCT,20260913,21,0.0005318803269507632,0.005783413261625159,1239,
OD_PRODUCT,20260913,22,0.0004957584938851046,0.005774149385923825,1298,
OD_PRODUCT,20260913,23,0.00045998843780078015,0.00576494360419942,1357,
OD_PRODUCT,20260913,24,0.0004248021412375964,0.0057605887313198255,1416,
OD_PRODUCT,20260913,25,0.00039042780083085903,0.005752113038513944,1475,
OD_PRODUCT,20260913,26,0.00035708834736862554,0.005746229803680619,1534,
OD_PRODUCT,20260913,27,0.0003249999999999999,0.005743746032567997,1593,
OD_PRODUCT,20260913,28,0.00029437086397097995,0.005737598362881745,1652,
OD_PRODUCT,20260913,29,0.0002653995809820803,0.005733007876347053,1711,
OD_PRODUCT,20260913,30,0.00023827404092068027,0.005728587683857774,1770,
OD_PRODUCT,20260913,31,0.0002131701633230046,0.005723876995767125,1829,
OD_PRODUCT,20260913,32,0.00019025075646842457,0.005720832020379897,1888,
OD_PRODUCT,20260913,33,0.00016966446150529243,0.00571727486038886,1947,
OD_PRODUCT,20260913,34,0.00015154478845605558,0.00571393287979954,2006,
OD_PRODUCT,20260913,35,0.00013600925035352912,0.005713103081653689,2065,
OD_PRODUCT,20260913,36,0.00012315860112378454,0.005710753337864796,2124,
OD_PRODUCT,20260913,37,0.0001130761821582766,0.005708500176363525,2183,
OD_PRODUCT,20260913,38,0.00010582738181293922,0.005706727306511997,2242,
OD_PRODUCT,20260913,39,0.00010145921133960553,0.00570500087225713,2301,
OD_PRODUCT,20260913,40,0.0001,0.005704191335530673,2360,0.0806716682746986
OD_PRODUCT,20260914,0,0.0,0.006343893644747128,0,0.0814268562489681
OD_PRODUCT,20260914,1,0.001,0.006333944721502318,59,
OD_PRODUCT,20260914,2,0.0009985407886603944,0.006249492527950275,118,
OD_PRODUCT,20260914,3,0.0009941726181870608,0.0061719728639560425,177,
OD_PRODUCT,20260914,4,0.0009869238178417234,0.006112787871663689,236,
OD_PRODUCT,20260914,5,0.0009768413988762155,0.006067525289949662,295,0.08097138699628804
OD_PRODUCT,20260914,6,0.000963990749646471,0.006028217510264189,354,
OD_PRODUCT,20260914,7,0.0009484552115439444,0.005996338602900815,413,
OD_PRODUCT,20260914,8,0.0009303355384947077,0.00597602833149009,472,
OD_PRODUCT,20260914,9,0.0009097492435315756,0.005946067721587202,531,
OD_PRODUCT,20260914,10,0.0008868298366769955,0.005929482041190476,590,0.08082191837444061
OD_PRODUCT,20260914,11,0.0008617259590793198,0.005907917397855265,649,
OD_PRODUCT,20260914,12,0.0008346004190179199,0.005892805925807415,708,
OD_PRODUCT,20260914,13,0.0008056291360290202,0.005885256789477783,767,
OD_PRODUCT,20260914,14,0.0007750000000000001,0.005864605135549186,826,
OD_PRODUCT,20260914,15,0.0007429116526313744,0.005853806722958697,885,
OD_PRODUCT,20260914,16,0.0007095721991691411,0.005844028089659411,944,
OD_PRODUCT,20260914,17,0.0006751978587624037,0.005826014830089484,1003,
OD_PRODUCT,20260914,18,0.00064001156219922,0.005815846801404143,1062,
OD_PRODUCT,20260914,19,0.0006042415061148954,0.005807780592886738,1121,
OD_PRODUCT,20260914,20,0.0005681196730492369,0.005801614866614799,1180,0.0807286820610913
OD_PRODUCT,20260914,21,0.0005318803269507632,0.005792419950436413,1239,
OD_PRODUCT,20260914,22,0.0004957584938851046,0.005785671506995616,1298,
OD_PRODUCT,20260914,23,0.00045998843780078015,0.005779920272674487,1357,
OD_PRODUCT,20260914,24,0.0004248021412375964,0.005769571757130402,1416,
OD_PRODUCT,20260914,25,0.00039042780083085903,0.0057696475584992435,1475,
OD_PRODUCT,20260914,26,0.00035708834736862554,0.005760576180338971,1534,
OD_PRODUCT,20260914,27,0.0003249999999999999,0.005754425846637161,1593,
OD_PRODUCT,20260914,28,0.00029437086397097995,0.005753070098421803,1652,
OD_PRODUCT,20260914,29,0.0002653995809820803,0.0057464210906647065,1711,
OD_PRODUCT,20260914,30,0.00023827404092068027,0.005741153359737892,1770,
OD_PRODUCT,20260914,31,0.0002131701633230046,0.005739467789195926,1829,
OD_PRODUCT,20260914,32,0.00019025075646842457,0.0057354874487915266,1888,
OD_PRODUCT,20260914,33,0.00016966446150529243,0.005731804972918895,1947,
OD_PRODUCT,20260914,34,0.00015154478845605558,0.005729611269030186,2006,
OD_PRODUCT,20260914,35,0.00013600925035352912,0.005728106077322825,2065,
OD_PRODUCT,20260914,36,0.00012315860112378454,0.005725060168865584,2124,
OD_PRODUCT,20260914,37,0.0001130761821582766,0.005723671435214959,2183,
OD_PRODUCT,20260914,38,0.00010582738181293922,0.005722016551454144,2242,
OD_PRODUCT,20260914,39,0.00010145921133960553,0.005720820597192406,2301,
OD_PRODUCT,20260914,40,0.0001,0.005719774704675498,2360,0.08064946787429328
OD_SEPARABLE,20260913,0,0.0,0.006343893644747128,0,0.0814268562489681
OD_SEPARABLE,20260913,1,0.001,0.006348292786649658,59,
OD_SEPARABLE,20260913,2,0.0009985407886603944,0.00626766172318494,118,
OD_SEPARABLE,20260913,3,0.0009941726181870608,0.006195966634526694,177,
OD_SEPARABLE,20260913,4,0.0009869238178417234,0.006134052263938537,236,
OD_SEPARABLE,20260913,5,0.0009768413988762155,0.006091493683940224,295,0.08147631038453429
OD_SEPARABLE,20260913,6,0.000963990749646471,0.006056268132841095,354,
OD_SEPARABLE,20260913,7,0.0009484552115439444,0.006025772101747242,413,
OD_SEPARABLE,20260913,8,0.0009303355384947077,0.005999019803110496,472,
OD_SEPARABLE,20260913,9,0.0009097492435315756,0.00597628459214527,531,
OD_SEPARABLE,20260913,10,0.0008868298366769955,0.005952568626415561,590,0.08126104821870826
OD_SEPARABLE,20260913,11,0.0008617259590793198,0.005931719708839805,649,
OD_SEPARABLE,20260913,12,0.0008346004190179199,0.005920324731245482,708,
OD_SEPARABLE,20260913,13,0.0008056291360290202,0.00590276819685897,767,
OD_SEPARABLE,20260913,14,0.0007750000000000001,0.005895101392085731,826,
OD_SEPARABLE,20260913,15,0.0007429116526313744,0.0058873915150235824,885,
OD_SEPARABLE,20260913,16,0.0007095721991691411,0.0058695704707757545,944,
OD_SEPARABLE,20260913,17,0.0006751978587624037,0.005867464149107127,1003,
OD_SEPARABLE,20260913,18,0.00064001156219922,0.005857735699921809,1062,
OD_SEPARABLE,20260913,19,0.0006042415061148954,0.005840927149223658,1121,
OD_SEPARABLE,20260913,20,0.0005681196730492369,0.005835002694292873,1180,0.08117427870162752
OD_SEPARABLE,20260913,21,0.0005318803269507632,0.005824053025498659,1239,
OD_SEPARABLE,20260913,22,0.0004957584938851046,0.005819338468479858,1298,
OD_SEPARABLE,20260913,23,0.00045998843780078015,0.005811506464332033,1357,
OD_SEPARABLE,20260913,24,0.0004248021412375964,0.005808508709821527,1416,
OD_SEPARABLE,20260913,25,0.00039042780083085903,0.005801345578098307,1475,
OD_SEPARABLE,20260913,26,0.00035708834736862554,0.005795425820992096,1534,
OD_SEPARABLE,20260913,27,0.0003249999999999999,0.005791520646383971,1593,
OD_SEPARABLE,20260913,28,0.00029437086397097995,0.005785125074185193,1652,
OD_SEPARABLE,20260913,29,0.0002653995809820803,0.005780793911023177,1711,
OD_SEPARABLE,20260913,30,0.00023827404092068027,0.005778590204699089,1770,
OD_SEPARABLE,20260913,31,0.0002131701633230046,0.005774004835412742,1829,
OD_SEPARABLE,20260913,32,0.00019025075646842457,0.005771809033523733,1888,
OD_SEPARABLE,20260913,33,0.00016966446150529243,0.005767892298531042,1947,
OD_SEPARABLE,20260913,34,0.00015154478845605558,0.005764853623415386,2006,
OD_SEPARABLE,20260913,35,0.00013600925035352912,0.005762461233782034,2065,
OD_SEPARABLE,20260913,36,0.00012315860112378454,0.00576232049766512,2124,
OD_SEPARABLE,20260913,37,0.0001130761821582766,0.005760433026765357,2183,
OD_SEPARABLE,20260913,38,0.00010582738181293922,0.005757999420699525,2242,
OD_SEPARABLE,20260913,39,0.00010145921133960553,0.005756517231871091,2301,
OD_SEPARABLE,20260913,40,0.0001,0.005755130681744709,2360,0.08090165588093061
OD_SEPARABLE,20260914,0,0.0,0.006343893644747128,0,0.0814268562489681
OD_SEPARABLE,20260914,1,0.001,0.0063511704728424845,59,
OD_SEPARABLE,20260914,2,0.0009985407886603944,0.006287832828891963,118,
OD_SEPARABLE,20260914,3,0.0009941726181870608,0.006223405653347163,177,
OD_SEPARABLE,20260914,4,0.0009869238178417234,0.006168694343841598,236,
OD_SEPARABLE,20260914,5,0.0009768413988762155,0.006125052699779774,295,0.08128079405019434
OD_SEPARABLE,20260914,6,0.000963990749646471,0.006088151427356224,354,
