system,cut,horizon,status,target_scope,postprocess,scored_values,rmse,mae
last,1056,12,AVAILABLE,path_1_to_H,raw,46200,0.12781613630422708,0.0721474030054501
day,1056,12,AVAILABLE,terminal_H,raw,3850,0.11447128865232309,0.07063872193143546
day,1056,12,AVAILABLE,path_1_to_H,raw,46200,0.11040952707809913,0.06996141864672238
week,1056,12,AVAILABLE,terminal_H,raw,3850,0.11994893413314425,0.07624560551959779
week,1056,12,AVAILABLE,path_1_to_H,raw,46200,0.11659847105281394,0.07535578048850503
native_raw,1056,12,AVAILABLE,terminal_H,raw,3850,0.09727681638339172,0.062026312584420304
native_raw,1056,12,AVAILABLE,path_1_to_H,raw,46200,0.07831167412920281,0.04633956363835892
native_clip,1056,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09727681638331662,0.06202631063638376
native_clip,1056,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07830591311366505,0.04632589489157066
last,1392,3,AVAILABLE,terminal_H,raw,3850,0.12854955670584065,0.06557978055379414
last,1392,3,AVAILABLE,path_1_to_H,raw,11550,0.12794006391172752,0.061022862529470805
day,1392,3,AVAILABLE,terminal_H,raw,3850,0.14022954598696333,0.08129751595874112
day,1392,3,AVAILABLE,path_1_to_H,raw,11550,0.146220815493234,0.08455230610372572
week,1392,3,AVAILABLE,terminal_H,raw,3850,0.16766276396149365,0.11362141205844555
week,1392,3,AVAILABLE,path_1_to_H,raw,11550,0.17470008176805008,0.11887468411147724
native_raw,1392,3,AVAILABLE,terminal_H,raw,3850,0.10810513789861254,0.0541634501208582
native_raw,1392,3,AVAILABLE,path_1_to_H,raw,11550,0.10785652026129472,0.05142333254606192
native_clip,1392,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10809850828918682,0.054069191283582674
native_clip,1392,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10784551376242232,0.05132710722814822
last,1392,6,AVAILABLE,terminal_H,raw,3850,0.13337653844161032,0.06736073351961065
last,1392,6,AVAILABLE,path_1_to_H,raw,23100,0.1348419431341674,0.06633842426952927
day,1392,6,AVAILABLE,terminal_H,raw,3850,0.14962923337144735,0.0862100746148786
day,1392,6,AVAILABLE,path_1_to_H,raw,23100,0.15557331793040416,0.08891241706383628
week,1392,6,AVAILABLE,terminal_H,raw,3850,0.18975207749524775,0.12611733923895985
week,1392,6,AVAILABLE,path_1_to_H,raw,23100,0.1760551500848951,0.11904772553790474
native_raw,1392,6,NOT_AVAILABLE,terminal_H,raw,0,,
native_raw,1392,6,NOT_AVAILABLE,path_1_to_H,raw,0,,
native_clip,1392,6,NOT_AVAILABLE,terminal_H,clip_0_1,0,,
native_clip,1392,6,NOT_AVAILABLE,path_1_to_H,clip_0_1,0,,
last,1392,9,AVAILABLE,terminal_H,raw,3850,0.13970691504386754,0.08130751389840787
last,1392,9,AVAILABLE,path_1_to_H,raw,34650,0.13541665497493663,0.06930371304078922
day,1392,9,AVAILABLE,terminal_H,raw,3850,0.14334829389481335,0.08567054133910637
day,1392,9,AVAILABLE,path_1_to_H,raw,34650,0.15229657458068951,0.08743454656828448
week,1392,9,AVAILABLE,terminal_H,raw,3850,0.15978524001669125,0.11034107484866854
week,1392,9,AVAILABLE,path_1_to_H,raw,34650,0.17151797997124577,0.11591746079121296
native_raw,1392,9,NOT_AVAILABLE,terminal_H,raw,0,,
native_raw,1392,9,NOT_AVAILABLE,path_1_to_H,raw,0,,
native_clip,1392,9,NOT_AVAILABLE,terminal_H,clip_0_1,0,,
native_clip,1392,9,NOT_AVAILABLE,path_1_to_H,clip_0_1,0,,
last,1392,12,AVAILABLE,terminal_H,raw,3850,0.16520356837003147,0.10101268601640091
last,1392,12,AVAILABLE,path_1_to_H,raw,46200,0.14316792851264248,0.07680872755989965
day,1392,12,AVAILABLE,terminal_H,raw,3850,0.15008913138463734,0.08806670713782698
day,1392,12,AVAILABLE,path_1_to_H,raw,46200,0.15209194689926875,0.08768671752493909
week,1392,12,AVAILABLE,terminal_H,raw,3850,0.17130373475816976,0.11499259823788102
week,1392,12,AVAILABLE,path_1_to_H,raw,46200,0.17149941005330718,0.11588237557836377
native_raw,1392,12,AVAILABLE,terminal_H,raw,3850,0.11527541180984963,0.06651178743025482
native_raw,1392,12,AVAILABLE,path_1_to_H,raw,46200,0.11394747712176027,0.05928244603855079
native_clip,1392,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11527517909786224,0.06650954440317733
native_clip,1392,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11394193518666669,0.05922485594192819
