phase,dataset,series,K,scope,mask,origin_start,model_A,model_B,endpoint,Gamma,core_size,size_lower_bound,kind,window_indices
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7746,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7746,constant,hist_gradient_boosting,upper,4.024558464266193e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7746,logistic,hist_gradient_boosting,lower,3.5214886562329184e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7746,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,constant,logistic,lower,0.0040603519244468,2,2,BINARY_IMPLICATION,4;6
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,constant,logistic,upper,0.0040603519244401,2,2,BINARY_IMPLICATION,6;5
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,constant,hist_gradient_boosting,lower,1.5853984615836527,2,2,BINARY_IMPLICATION,12;5
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,constant,hist_gradient_boosting,upper,1.7900548866686825,2,2,BINARY_IMPLICATION,4;12
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,logistic,hist_gradient_boosting,lower,0.4469271996963398,2,2,BINARY_IMPLICATION,15;5
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,7914,logistic,hist_gradient_boosting,upper,0.4469271996963394,2,2,BINARY_IMPLICATION,4;15
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,constant,logistic,upper,6.036837696399289e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,constant,hist_gradient_boosting,upper,8.049116928532385e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8082,logistic,hist_gradient_boosting,upper,3.144186300207963e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,constant,hist_gradient_boosting,upper,4.024558464266193e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8250,logistic,hist_gradient_boosting,upper,1.7607443281164592e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,constant,logistic,upper,3.5214886562329184e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,constant,hist_gradient_boosting,upper,8.049116928532385e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8418,logistic,hist_gradient_boosting,upper,6.036837696399289e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,constant,hist_gradient_boosting,upper,8.049116928532385e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,8586,logistic,hist_gradient_boosting,upper,1.4589024432964948e-14,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,constant,logistic,lower,0.0040603519240669,2,2,BINARY_IMPLICATION,1348;1350
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,constant,logistic,upper,0.004060351924518,2,2,BINARY_IMPLICATION,1350;1349
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,constant,hist_gradient_boosting,lower,1.5853984615832182,2,2,BINARY_IMPLICATION,1356;1349
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,constant,hist_gradient_boosting,upper,1.7900548866691732,2,2,BINARY_IMPLICATION,1348;1356
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,logistic,hist_gradient_boosting,lower,0.4469271996963488,2,2,BINARY_IMPLICATION,1359;1349
AP0,beijing,Aotizhongxin,24,full_station,natural,6570,logistic,hist_gradient_boosting,upper,0.4469271996963488,2,2,BINARY_IMPLICATION,1348;1359
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,constant,logistic,lower,1.766815860282378e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,logistic,hist_gradient_boosting,upper,3.3653635433950058e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,constant,hist_gradient_boosting,lower,1.3461454173580025e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6738,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,constant,logistic,upper,3.575698764857194e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,constant,hist_gradient_boosting,upper,3.0288271890555048e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6906,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,constant,logistic,upper,1.808882904574816e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,constant,hist_gradient_boosting,lower,1.766815860282378e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7074,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,constant,logistic,upper,1.766815860282378e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,constant,hist_gradient_boosting,upper,3.533631720564756e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7242,logistic,hist_gradient_boosting,upper,1.766815860282378e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,constant,logistic,lower,1.7773326213554874e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,constant,hist_gradient_boosting,upper,3.575698764857194e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7410,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,constant,logistic,lower,8.83407930141189e-16,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,constant,hist_gradient_boosting,lower,9.044414522874078e-16,0,0,NUMERIC_ZERO,
