dataset,K,scope,pair_median_seconds,joint_median_seconds,panels
beijing,24,annual,0.03787005001504425,0.00503259999823045,12
beijing,24,origin_week,6.345001020235941e-05,0.0003345500008434593,636
beijing,72,annual,0.02739489999657945,0.0067545999845605,12
beijing,72,origin_week,5.420000525191426e-05,0.00037175000034025,624
household,60,annual,0.06539689999772219,0.3758024999988264,1
household,60,origin_week,0.00017919999663718045,0.0071765999891794,53
household,180,annual,0.0969633999920914,0.9504694999923231,1
household,180,origin_week,0.00017910001042764634,0.0161749000108102,53
