independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,AP1,beijing,Aotizhongxin,annual,natural,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,24,3,8737,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,8928,2014-03-08 00:00:00,2014Q1,beijing_2014-03-08T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,9096,2014-03-15 00:00:00,2014Q1,beijing_2014-03-15T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,9264,2014-03-22 00:00:00,2014Q1,beijing_2014-03-22T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,9432,2014-03-29 00:00:00,2014Q1,beijing_2014-03-29T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,9600,2014-04-05 00:00:00,2014Q2,beijing_2014-04-05T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,9768,2014-04-12 00:00:00,2014Q2,beijing_2014-04-12T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,9936,2014-04-19 00:00:00,2014Q2,beijing_2014-04-19T00:00:00,24,3,168,False,False,False
constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting;logistic,,AP1,beijing,Aotizhongxin,origin_week,natural,10104,2014-04-26 00:00:00,2014Q2,beijing_2014-04-26T00:00:00,24,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP1,beijing,Aotizhongxin,origin_week,natural,10272,2014-05-03 00:00:00,2014Q2,beijing_2014-05-03T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,10440,2014-05-10 00:00:00,2014Q2,beijing_2014-05-10T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,10608,2014-05-17 00:00:00,2014Q2,beijing_2014-05-17T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,10776,2014-05-24 00:00:00,2014Q2,beijing_2014-05-24T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,10944,2014-05-31 00:00:00,2014Q2,beijing_2014-05-31T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,11112,2014-06-07 00:00:00,2014Q2,beijing_2014-06-07T00:00:00,24,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP1,beijing,Aotizhongxin,origin_week,natural,11280,2014-06-14 00:00:00,2014Q2,beijing_2014-06-14T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,11448,2014-06-21 00:00:00,2014Q2,beijing_2014-06-21T00:00:00,24,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP1,beijing,Aotizhongxin,origin_week,natural,11616,2014-06-28 00:00:00,2014Q2,beijing_2014-06-28T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,11784,2014-07-05 00:00:00,2014Q3,beijing_2014-07-05T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,11952,2014-07-12 00:00:00,2014Q3,beijing_2014-07-12T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,12120,2014-07-19 00:00:00,2014Q3,beijing_2014-07-19T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,12288,2014-07-26 00:00:00,2014Q3,beijing_2014-07-26T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP1,beijing,Aotizhongxin,origin_week,natural,12456,2014-08-02 00:00:00,2014Q3,beijing_2014-08-02T00:00:00,24,3,168,False,False,False
