phase,dataset,series,K,scope,mask,origin_start,extent,status,N,constraint_rows,variables,model_A,model_B,seconds,max_abs_error,message,planned_full_constraint_rows,planned_full_variables
AP0,household,household,60,full_station,natural,86400,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,43141,2718213,129537,,,0.0,,Not attempted; no OOM or runtime inferred,2718213,129537
AP0,household,household,60,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,logistic,0.0696674999926472,2.775557561562892e-17,,2718213,129537
AP0,household,household,60,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,hist_gradient_boosting,0.1556617000023834,5.551115123125783e-17,,2718213,129537
AP0,household,household,60,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,logistic,hist_gradient_boosting,0.0827314000052865,1.6653345369377348e-16,,2718213,129537
AP0,household,household,180,full_station,natural,86400,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,43021,7873893,129417,,,0.0,,Not attempted; no OOM or runtime inferred,7873893,129417
AP0,household,household,180,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,logistic,0.2962811999896075,4.163336342344337e-17,,7873893,129417
AP0,household,household,180,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,hist_gradient_boosting,0.2993029999925056,1.1102230246251563e-16,,7873893,129417
AP0,household,household,180,full_station,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,logistic,hist_gradient_boosting,0.2844512000010581,2.220446049250313e-16,,7873893,129417
AP0_EXTENSION,household,household,60,fixed_panel,natural,192960,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,10021,631653,30177,,,0.0,,Not attempted; no OOM or runtime inferred,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,logistic,0.1678408000007039,1.3322676295501878e-15,,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,hist_gradient_boosting,0.2103992999909678,2.220446049250313e-16,,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,logistic,hist_gradient_boosting,0.1679005999903893,1.0408340855860844e-17,,631653,30177
AP0_EXTENSION,household,household,180,fixed_panel,natural,192960,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,9901,1812933,30057,,,0.0,,Not attempted; no OOM or runtime inferred,1812933,30057
AP0_EXTENSION,household,household,180,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,logistic,0.8508987999957753,1.7763568394002505e-15,,1812933,30057
