T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
2048,8,8,natural_power,0.0,0.0001538999931653,0.0001532999885967,0.0002143000019714,0.0003125999937765,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.00017879999359128696,0.0003055999986827
32768,8,8,iid30,0.29901123046875,0.0028018000011797,0.0031510999979218,0.0037114000006113,0.0078088999871397,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.002826700001605687,0.0033034000080078
32768,8,8,blocks30,0.2763671875,0.0031858000002102,0.0033879999973578,0.0039227999950526,0.0082175999996252,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.0032107000006361868,0.0035403000074438
32768,8,8,natural_power,0.003997802734375,0.0031533000001218,0.0029262000025482,0.00410780000675,0.0052064999908907,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.003178200000547787,0.0030785000126341997
2048,16,1,iid30,0.29052734375,0.0002034000062849,0.0001863000070443,0.0003060000017285,0.0531166000000666,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00023380001948677002,0.0031967999966581
2048,16,1,blocks30,0.26318359375,0.0002180000010412,0.0002092000067932,0.0003273000038461,0.0530576000019209,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00024840001424307,0.003219699996407
2048,16,1,natural_power,0.0,0.0001645000011194,0.0001585999998496,0.0002716000017244,0.0587215000123251,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00019490001432127002,0.0031690999894634
32768,16,1,iid30,0.2994384765625,0.0041540999955032,0.0040198000060627,0.006347700007609,0.7752063000079943,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00418450000870507,0.0070302999956765
32768,16,1,blocks30,0.269866943359375,0.0027192999987164,0.0027751000015996,0.0043695999920601,0.7798158999939915,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00274970001191827,0.0057855999912134
32768,16,1,natural_power,0.003997802734375,0.0030513999954564,0.0030493000085698,0.0049943000049097,0.8018780999991577,COMPLETE,COMPLETE,0.0,544,289,3.0400013201870024e-05,0.0030104999896138,0.00308180000865827,0.006059799998183599
2048,16,3,iid30,0.298828125,0.0002874000056181,0.0002558000123826,0.0004328000068198,0.0493152999988524,COMPLETE,COMPLETE,0.0,1280,680,6.19000056758523e-05,0.0047934000031091,0.0003493000112939523,0.0050492000154917
