stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae,alignment_A,correction_energy_B,mse_gain_G,identity_error,zero_correction
MECH_FIXED40,BASE_FIXED,fixed,3,AVAILABLE,terminal_H,raw,3850,0.08483696461620312,0.05540521541373975,0.0,0.0,0.0,0.0,True
MECH_FIXED40,BASE_FIXED,fixed,6,AVAILABLE,terminal_H,raw,3850,0.1212911972738343,0.06966348750698252,0.0,0.0,0.0,0.0,True
MECH_FIXED40,BASE_FIXED,fixed,9,AVAILABLE,terminal_H,raw,3850,0.09309992087142042,0.06495022147524362,0.0,0.0,0.0,0.0,True
MECH_FIXED40,BASE_FIXED,fixed,12,AVAILABLE,terminal_H,raw,3850,0.1069945658018169,0.07419005684496248,0.0,0.0,0.0,0.0,True
MECH_FIXED40,LINEAR_REPAIR,fixed,3,AVAILABLE,terminal_H,raw,3850,0.08337251291067874,0.05509090465416605,0.0004159052439402524,0.0005854758316308976,0.00024633465624960714,0.0,False
MECH_FIXED40,LINEAR_REPAIR,fixed,6,AVAILABLE,terminal_H,raw,3850,0.1215851300364727,0.06880915534738204,0.00036335012739581495,0.0007980895646574163,-7.138930986578602e-05,3.7947076036992655e-19,False
MECH_FIXED40,LINEAR_REPAIR,fixed,9,AVAILABLE,terminal_H,raw,3850,0.08844276937231856,0.060096635243903344,0.0008792339451321663,0.0009129960782447167,0.0008454718120196157,2.168404344971009e-19,False
MECH_FIXED40,LINEAR_REPAIR,fixed,12,AVAILABLE,terminal_H,raw,3850,0.10363890761788683,0.0700384998355269,0.001049043959464823,0.001391273980039198,0.0007068139388904483,1.0842021724855044e-19,False
MECH_FIXED40,RIDGE_FULL,fixed,3,AVAILABLE,terminal_H,raw,3850,0.08300384325782448,0.05407657855955197,0.0002979912704764859,0.0002883099712315671,0.00030767256972140465,0.0,False
MECH_FIXED40,RIDGE_FULL,fixed,6,AVAILABLE,terminal_H,raw,3850,0.12125413543137299,0.06797427756985476,0.00020563231064294428,0.0004022754443754439,8.989176910444754e-06,8.131516293641283e-20,False
MECH_FIXED40,RIDGE_FULL,fixed,9,AVAILABLE,terminal_H,raw,3850,0.08877532937013226,0.06050388035836816,0.0006204842922064035,0.00045443242292352894,0.0007865361614892778,3.2526065174565133e-19,False
MECH_FIXED40,RIDGE_FULL,fixed,12,AVAILABLE,terminal_H,raw,3850,0.10342026512716584,0.07008967218954203,0.0007304869154873605,0.0007088879588286691,0.0007520858721460519,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260915,3,AVAILABLE,terminal_H,raw,3850,0.08382573991019773,0.05538686078331859,0.0003917269302964223,0.0006128979667940628,0.0001705558937987819,8.131516293641283e-20,False
MECH_FIXED40,FIXED_PRODUCT,20260915,6,AVAILABLE,terminal_H,raw,3850,0.1213579490009378,0.06979862629037001,0.0004804226463514343,0.0009770425422968973,-1.619724959402855e-05,1.8295911660692887e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260915,9,AVAILABLE,terminal_H,raw,3850,0.09203782859739286,0.06340628997999263,0.0007357748322373547,0.001274916291133032,0.00019663337334167755,2.168404344971009e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260915,12,AVAILABLE,terminal_H,raw,3850,0.10394593519245106,0.07060427900694731,0.0010751128700931386,0.0015071460721001878,0.0006430796680860891,3.2526065174565133e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260916,3,AVAILABLE,terminal_H,raw,3850,0.0847970376654133,0.05577841211895252,0.0003028880390059878,0.0005990031095505968,6.7729684613789965e-06,1.4653669987499396e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260916,6,AVAILABLE,terminal_H,raw,3850,0.12042150417225171,0.06989493463275434,0.000653066874558347,0.0010959178801041418,0.0002102158690125525,3.2526065174565133e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260916,9,AVAILABLE,terminal_H,raw,3850,0.09219979272918555,0.06348871550695392,0.000694430577525058,0.0012220676680901501,0.000166793486959966,0.0,False
MECH_FIXED40,FIXED_PRODUCT,20260916,12,AVAILABLE,terminal_H,raw,3850,0.10452694115505311,0.07064242399442958,0.0009533296937825901,0.0013847037036777885,0.0005219556838873918,0.0,False
MECH_FIXED40,FIXED_PRODUCT,20260917,3,AVAILABLE,terminal_H,raw,3850,0.08354496815433034,0.054882263163752484,0.00039644495356226114,0.000575341045741691,0.0002175488613828312,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260917,6,AVAILABLE,terminal_H,raw,3850,0.12155319927409981,0.06929453330783494,0.00046842949744874834,0.001000484712546325,-6.362571764882798e-05,2.846030702774449e-19,False
MECH_FIXED40,FIXED_PRODUCT,20260917,9,AVAILABLE,terminal_H,raw,3850,0.09161651684463541,0.0632169589740405,0.0007607933962071039,0.0012475776848928266,0.0002740091075213811,0.0,False
MECH_FIXED40,FIXED_PRODUCT,20260917,12,AVAILABLE,terminal_H,raw,3850,0.10407043503403231,0.07093893453712338,0.000985088992925368,0.00135299632290415,0.0006171816629465859,2.168404344971009e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.08468130858401625,0.05579507473669166,0.00029570629594812036,0.000565026050106724,2.6386541789516572e-05,9.486769009248164e-20,False
