system,alpha,scope,rmse,mae,unclipped_move_rmse,unclipped_move_mae,feasible,selected
mean_base,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
mean_base,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,False
mean_base,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,False
mean_base,0.125,H3,0.062281024687670376,0.03324036898441553,0.062281024687670376,0.03324036898441553,True,True
mean_base,0.125,H12,0.07811439660335856,0.04628620636254289,0.07811439660335856,0.04628620636254289,True,True
mean_base,0.125,macro,0.07019771064551447,0.03976328767347921,0.07019771064551447,0.03976328767347921,True,True
mean_base,0.25,H3,0.062188958814823454,0.033292421149037535,0.062188958814823454,0.033292421149037535,False,False
mean_base,0.25,H12,0.07793832882038583,0.046263116485875916,0.07793832882038583,0.046263116485875916,False,False
mean_base,0.25,macro,0.07006364381760465,0.039777768817456725,0.07006364381760465,0.039777768817456725,False,False
mean_base,0.5,H3,0.062040569001018245,0.033450476908294745,0.062040569005864674,0.03345048412389966,False,False
mean_base,0.5,H12,0.07763295050833664,0.04626201498727883,0.07763295065838811,0.04626203744352635,False,False
mean_base,0.5,macro,0.06983675975467744,0.03985624594778679,0.0698367598321264,0.039856260783713,False,False
mean_base,1.0,H3,0.06188780734568809,0.03395065054387283,0.06188781243964384,0.033950973105611584,False,False
mean_base,1.0,H12,0.07721161213074254,0.046430403425096925,0.07721161479171536,0.04643049773461879,False,False
mean_base,1.0,macro,0.06954970973821531,0.04019052698448487,0.0695497136156796,0.040190735420115184,False,False
mean_base,2.0,H3,0.0621609659962329,0.03552793030073014,0.0621610107038634,0.035528884040479956,False,False
mean_base,2.0,H12,0.0771378376507404,0.04738784599025912,0.07713785461586424,0.04738808400632967,False,False
mean_base,2.0,macro,0.06964940182348665,0.04145788814549463,0.06964943265986381,0.04145848402340481,False,False
mean_base,4.0,H3,0.06495188756341956,0.04055790348008555,0.06495211915518152,0.04056011957585748,False,False
mean_base,4.0,H12,0.0800241172988961,0.05148014332405889,0.08002419699172199,0.051480668753226815,False,False
mean_base,4.0,macro,0.07248800243115783,0.046019023402072215,0.07248815807345176,0.04602039416454215,False,False
mean_base,8.0,H3,0.07788688227942786,0.05501576956556789,0.07795112304256488,0.05504540696119813,False,False
mean_base,8.0,H12,0.09594835416683123,0.06564043566752152,0.09600360301993083,0.06565906801491735,False,False
mean_base,8.0,macro,0.08691761822312954,0.060328102616544706,0.08697736303124785,0.060352237488057736,False,False
gate_base,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
gate_base,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,False
gate_base,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,False
gate_base,0.125,H3,0.06238145455851584,0.03321037912426917,0.06238145455851584,0.03321037912426917,True,False
gate_base,0.125,H12,0.07829904560832936,0.04632337356343195,0.07829904560832936,0.04632337356343195,True,False
gate_base,0.125,macro,0.0703402500834226,0.03976687634385056,0.0703402500834226,0.03976687634385056,True,False
gate_base,0.25,H3,0.06237799484027263,0.03320951888299955,0.06237799484027263,0.03320951888299955,True,False
gate_base,0.25,H12,0.07829223760175451,0.046320902112038126,0.07829223760175451,0.046320902112038126,True,False
gate_base,0.25,macro,0.07033511622101357,0.03976521049751884,0.07033511622101357,0.03976521049751884,True,False
gate_base,0.5,H3,0.062371142044853695,0.03320783648282982,0.062371142044853695,0.03320783648282982,True,False
gate_base,0.5,H12,0.07827880014684781,0.04631609239110957,0.07827880014684781,0.04631609239110957,True,False
gate_base,0.5,macro,0.07032497109585076,0.03976196443696969,0.07032497109585076,0.03976196443696969,True,False
gate_base,1.0,H3,0.06235770312031653,0.03320465460321207,0.06235770312031653,0.03320465460321207,True,False
gate_base,1.0,H12,0.07825263989641981,0.04630725690592385,0.07825263989641981,0.04630725690592385,True,False
gate_base,1.0,macro,0.07030517150836817,0.03975595575456796,0.07030517150836817,0.03975595575456796,True,False
gate_base,2.0,H3,0.06233189273337469,0.033199454038500074,0.06233189273337469,0.033199454038500074,True,False
gate_base,2.0,H12,0.07820318133430361,0.04629152089729908,0.07820318133430361,0.04629152089729908,True,False
gate_base,2.0,macro,0.07026753703383914,0.039745487467899576,0.07026753703383914,0.039745487467899576,True,False
gate_base,4.0,H3,0.06228454787286781,0.03319433487376615,0.06228454787286781,0.03319433487376615,True,False
gate_base,4.0,H12,0.07811573659935872,0.046267313959023317,0.07811573659935872,0.046267313959023317,True,False
gate_base,4.0,macro,0.07020014223611326,0.039730824416394736,0.07020014223611326,0.039730824416394736,True,False
gate_base,8.0,H3,0.0622070053020072,0.033201233210973846,0.06220700530869662,0.03320124169960802,True,True
gate_base,8.0,H12,0.07798690481359394,0.04625241949593937,0.07798690496493076,0.04625244209951637,True,True
gate_base,8.0,macro,0.07009695505780057,0.039726826353456604,0.07009695513681369,0.039726841899562194,True,True
mean_duration,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
