fold,Chronos2_RMSE,GlobalFixed_RMSE,gain_percent,fold_win
1,0.07593026522810567,0.0737944883217868,-2.894222800225467,False
2,0.09093968571474297,0.0865677365725607,-5.050321650165495,False
3,0.07897441134111229,0.07417064227712525,-6.476644824024334,False
4,0.06889707201410762,0.06712270653265599,-2.6434653384967106,False
5,0.06254942603805477,0.06556320539809643,4.596754142422023,True
6,0.0639629110160264,0.06098176219580635,-4.888590806293653,False
