fold,horizon,samples,target_identity,causal_inputs,full_status_verified,status_metric_match,Chronos2_clipped_RMSE,Chronos2_clipped_MAE,Chronos2_clipped_WAPE,Chronos2_clipped_sMAPE,Chronos2_clipped_RAE,Chronos2_raw_RMSE,Chronos2_raw_MAE,Chronos2_raw_WAPE,Chronos2_raw_sMAPE,Chronos2_raw_RAE,GlobalFixed_RMSE,RMSE_gain_percent,Chronos2_cell_win
1,3,70,True,True,True,True,0.06709265964154665,0.039227479087962265,0.14168103981716026,0.19746088728575031,0.2910856105504351,0.06710879423872464,0.039239966478560956,0.14172614152967813,0.20027349583990015,0.29117827262817025,0.0664458197878257,-0.9734846462673432,False
1,6,67,True,True,True,True,0.07495351314548206,0.04701516547399263,0.1714107032992717,0.2303511994981995,0.35266199918325375,0.07497067125932876,0.047022689491232145,0.171438134811501,0.23198671037602675,0.3527184370354835,0.0735280378722897,-1.9386825957034926,False
1,9,64,True,True,True,True,0.07979621434940627,0.05166126696532222,0.18996326240680764,0.24974150289941754,0.3909840127929194,0.07980152665138185,0.051664908496066614,0.18997665265255645,0.2513346889732154,0.39101157271134157,0.0774311851283954,-3.0543626796996657,False
1,12,61,True,True,True,True,0.0818786737759877,0.05342982026564784,0.1955117004844397,0.25655711262053277,0.4017878046297873,0.08187954887839827,0.05343027648612793,0.19551336989753923,0.25666142239296125,0.4017912353698536,0.0777729104986364,-5.2791688661610445,False
2,3,144,True,True,True,True,0.08139921066649584,0.03397247807650327,0.11289711810959623,0.15712277244316442,0.2345158851333807,0.08144557127105792,0.03398586775960136,0.11294161461735086,0.15959621026929494,0.234608315640697,0.0777217869219395,-4.731522382842016,False
2,6,141,True,True,True,True,0.08871790281185353,0.04173375116222868,0.1389088203283218,0.19070664343913118,0.2886185342347761,0.08877234410350657,0.04174381859415618,0.13894232930016925,0.1921587161985806,0.2886881576778049,0.0847517033966547,-4.679787256471091,False
2,9,138,True,True,True,True,0.09570870042500915,0.04770594617748043,0.15897006328133698,0.2146567433498004,0.33015199451948907,0.0957830446510832,0.04772968832603249,0.15904917901344537,0.21589952948226793,0.3303163035485874,0.0910220280803673,-5.148943001471885,False
2,12,135,True,True,True,True,0.09793292895561333,0.050393862886396024,0.1681818404261449,0.22716713325933102,0.3490695121484014,0.0979742892156614,0.05040621735364831,0.16822307157853061,0.22789439438183148,0.3491550893915338,0.0927754278912813,-5.5591239852602214,False
3,3,216,True,True,True,True,0.06751831256569052,0.03864300067677088,0.14177298522162174,0.204160083824545,0.29069627921472085,0.06753346070480483,0.03866465245407486,0.14185242100688633,0.207249085656957,0.29085915712250293,0.064918464470324,-4.0047898800116934,False
3,6,213,True,True,True,True,0.07743950016716035,0.04819100070839005,0.17729368270583654,0.24555866781361546,0.3635033172545601,0.07744431606773776,0.048199221907085414,0.1773239283237223,0.2469082872293095,0.36356532951729886,0.0730301640701841,-6.0376916211481415,False
3,9,210,True,True,True,True,0.08357681584785619,0.05405251320847738,0.19939688589800475,0.26976645370812,0.40865720369802744,0.08357790422073486,0.05405502746618192,0.19940616086279125,0.27021586501884515,0.4086762124260574,0.0781390364911375,-6.95910725407452,False
3,12,207,True,True,True,True,0.08736301678374209,0.057294573209239884,0.21161579190988078,0.2824350871079496,0.4334753503745323,0.08736343444751328,0.057295914857701885,0.2116207472483334,0.2826462940361928,0.43348550092640076,0.0805949040768554,-8.397693110264887,False
4,3,290,True,True,True,True,0.059576121718656005,0.03137999967553295,0.12037060706217044,0.19574502286491421,0.23949944172879428,0.05958525011870357,0.03139008120040898,0.12040927880474495,0.20138016470930128,0.23957638626686154,0.0584805087828488,-1.8734668329844069,False
4,6,287,True,True,True,True,0.06766188558783554,0.039252276340471744,0.15073017547519013,0.23342994211726997,0.299854609221342,0.06766881961863905,0.03925881815874354,0.15075529629640014,0.2370338359488069,0.29990458324945873,0.0660031512035105,-2.5131139257436184,False
