horizon,Chronos2_RMSE,GlobalFixed_RMSE,gain_percent,deterioration_percent,protected
3,0.06339289544764075,0.06206607861615821,-2.137748768837339,2.137748768837339,False
6,0.07220068281755834,0.07029924758673632,-2.7047732317134696,2.7047732317134696,False
9,0.07790776369706326,0.07548558946184787,-3.2087902505412766,3.2087902505412766,False
12,0.0806678389391708,0.0776161118672786,-3.9318216263017316,3.9318216263017316,False
