fold,horizon,method,RMSE,MAE,WAPE,sMAPE,RAE
2020-08,3,caper,0.22881840554858465,0.17151210733551794,0.6255041258481793,1.2240964263224348,0.6446340776664985
2020-08,3,timexer,0.22471821333501824,0.17515725068989638,0.6387979524059246,1.2085256095228172,0.6583344727040056
2020-08,3,teacher,0.2230116416408391,0.17183448930756479,0.6266798519047654,1.211419207958531,0.6458457612521954
2020-08,3,oracle,0.19796608610308575,0.14310255585058917,0.5218945793072091,1.1675185761831532,0.5378558140038643
2020-08,6,caper,0.24584286342760323,0.1912405830062602,0.6976750180972108,1.2370329192601652,0.7190614872988258
2020-08,6,timexer,0.24152443352671343,0.19070651616613044,0.6957266602408636,1.2352631120308972,0.7170534046505517
2020-08,6,teacher,0.2393762777426839,0.1895635516547064,0.6915569501633424,1.2294377304346584,0.7127558766437089
2020-08,6,oracle,0.21087222529338415,0.15740799320939175,0.5742485344097341,1.1819112816542272,0.5918514989371455
2020-08,9,caper,0.25712134352650534,0.20449776083361346,0.74650054921077,1.2369474508036638,0.769307260362666
2020-08,9,timexer,0.25128405324702763,0.1970389621890574,0.7192728804973509,1.2593800302783484,0.741247745542311
2020-08,9,teacher,0.24909738323473452,0.1995171306223078,0.7283192098503819,1.238997029473856,0.7505704538219986
2020-08,9,oracle,0.216736768179142,0.16261147653463562,0.593598463113963,1.1845978882098465,0.6117337862597564
2020-08,12,caper,0.2648353405318829,0.21140255440880476,0.7724188495694044,1.2333491423595793,0.7955787902767778
2020-08,12,timexer,0.25620635849100665,0.20195159850486652,0.7378871169370049,1.2613366125862475,0.7600116700684082
2020-08,12,teacher,0.25522416537838183,0.20560590918163485,0.751239171536403,1.2371194113048745,0.7737640680734806
2020-08,12,oracle,0.22144314779109606,0.16600472206653644,0.6065450665925459,1.1813503042230558,0.6247315049303263
2020-09,3,caper,0.22567866743758433,0.16692456482752452,0.4708050088785251,0.9444866396371483,0.6495853429495714
2020-09,3,timexer,0.22180888781659422,0.1648066856197732,0.4648316032252634,0.9128588282702862,0.6413436363264966
2020-09,3,teacher,0.22027918487606707,0.16324959832651828,0.4604398919293077,0.915912948611296,0.6352842460597823
2020-09,3,oracle,0.19948365764639484,0.14001669970511185,0.3949122983541677,0.8796892104744563,0.5448736439156788
2020-09,6,caper,0.24174687498190062,0.18338677972696033,0.517215034682271,0.9535438033040161,0.7140080504097431
2020-09,6,timexer,0.2396202581790555,0.1816153874933845,0.5122190873359632,0.9381011609185665,0.7071112156592254
2020-09,6,teacher,0.23750357454374368,0.1799780087015262,0.5076011048953539,0.9358879430251521,0.7007361561227765
2020-09,6,oracle,0.21616243408461003,0.15577852647717655,0.4393500779860247,0.8968206406573443,0.6065165774287246
2020-09,9,caper,0.25137349423505234,0.1950170995738834,0.5497468682113575,0.9704065333689564,0.7592032748506695
2020-09,9,timexer,0.25038043584688124,0.19342083933368934,0.545247062451686,0.9331581864179364,0.7529890197698726
2020-09,9,teacher,0.2470238262614695,0.19105957137419738,0.5385907247839896,0.9358288068318584,0.7437965829447774
2020-09,9,oracle,0.22158174947429407,0.16295394297731117,0.4593618713959476,0.8942494338868532,0.6343811256988449
2020-09,12,caper,0.26174856572568006,0.2055985687085885,0.5797198272147956,0.9892646871320351,0.8005475000007862
2020-09,12,timexer,0.2564604054317247,0.1964337374567775,0.5538780403622654,0.957444709052246,0.7648620242085616
2020-09,12,teacher,0.25464171302093336,0.19700693966060528,0.5554942806145658,0.9586042908107562,0.7670939249175577
2020-09,12,oracle,0.2295107672004952,0.16924080223113425,0.4772029749204576,0.9130743472093754,0.6589797875309934
2020-10,3,caper,0.22637733870612778,0.1662944114998112,0.5360330170007819,1.0794635009463938,0.6395136899673464
2020-10,3,timexer,0.2252504996650789,0.16427051984163818,0.5295092093645016,1.0711951024699924,0.6317304673638987
2020-10,3,teacher,0.22354169168217367,0.1637602477022469,0.527864399344114,1.0753452096766707,0.6297681283062809
2020-10,3,oracle,0.20516670930553305,0.14218928468739464,0.45833260762496375,1.0302822032790315,0.5468132891787316
2020-10,6,caper,0.24230687597750103,0.18425581047232448,0.5939366460954566,1.0956498101715624,0.7083710194392554
2020-10,6,timexer,0.242123294616447,0.1818504227252829,0.5861830348124542,1.0773610300642136,0.6991235120409773
2020-10,6,teacher,0.23974895571437638,0.1813375920448266,0.5845299583988296,1.0806960154426297,0.6971519357255096
2020-10,6,oracle,0.21871647355147442,0.15709689388191653,0.506391641191983,1.0409051560740896,0.603958630040536
2020-10,9,caper,0.2516938181509123,0.19586129986737105,0.6312977743846758,1.0930520799119936,0.7527885331241728
2020-10,9,timexer,0.25119209881424726,0.19065596986984448,0.6145200176527358,1.0920989553212754,0.7327819634959781
2020-10,9,teacher,0.2490048762474184,0.19140455443538418,0.6169328463763475,1.0882162339543457,0.735659131560285
2020-10,9,oracle,0.2277308729075695,0.16651448972441996,0.5367074906426601,1.047362071547198,0.6399947235541072
2020-10,12,caper,0.2580075829092895,0.20318001893172166,0.654933626601346,1.099939863597729,0.7807219882493396
2020-10,12,timexer,0.2566830223854075,0.19675864065046747,0.6342348561827145,1.0854986617327387,0.7560477548015782
2020-10,12,teacher,0.2545349722157768,0.19790593215359445,0.6379330534211171,1.085692217795849,0.7604562380182467
2020-10,12,oracle,0.23124531301294923,0.17118278600564799,0.551793249355276,1.0452117867203665,0.6577721852132632
2020-11,3,caper,0.22275432708578508,0.16914241727489712,0.6951150427087427,1.2276203851824952,0.7151048526111597
