horizon,teacher,timexer,teacher_deterioration_percent
3,0.22214914938746186,0.2238365511287318,-0.7538544231319437
6,0.23846222982323245,0.24082197053585103,-0.979869364646396
9,0.24761852010173044,0.2500266519928859,-0.9631500769861746
12,0.2537210910841537,0.255481759610785,-0.6891562549567587
