method,RMSE,MAE,WAPE,sMAPE,RAE
caper,0.244600711215733,0.18917023654906515,0.6527187975188385,1.1343269033462122,0.7434877938650801
oracle,0.2176606017621746,0.15997414621195044,0.5532047697986368,1.0815619509280878,0.6296732106387618
teacher,0.2404877475991446,0.1860857296951015,0.6428145631305072,1.1235701431620038,0.7315746541948189
timexer,0.2425417333170634,0.18643646815937412,0.643947816358003,1.1268586157360874,0.7330220776599905
