dataset,K,model_A,model_B,series_count,windows,independent_lower,independent_upper,joint_lower,joint_upper,independent_winner,joint_winner
household,60,constant,logistic,1,86341,0.02145468378513133,0.04492539760792111,0.02149218377738418,0.044887897615668144,B,B
household,60,constant,hist_gradient_boosting,1,86341,0.011975871531007962,0.03207447127839952,0.011996143713579113,0.032040215996422546,B,B
household,60,logistic,hist_gradient_boosting,1,86341,-0.013021218031490827,-0.009308520552154123,-0.012991147141432683,-0.00933859144221231,A,A
household,180,constant,logistic,1,86221,0.020168532824124816,0.059101665357170145,0.020177225592109632,0.058939456811352056,B,B
household,180,constant,hist_gradient_boosting,1,86221,0.015919126497082468,0.047134344631673514,0.015919126497083082,0.047046049920386204,B,B
household,180,logistic,hist_gradient_boosting,1,86221,-0.01634558753561757,0.00012886048307862588,-0.01633760059735127,0.00012087354481254774,UNRESOLVED,UNRESOLVED
