system,alpha,scope,rmse,mae,unclipped_move_rmse,unclipped_move_mae,feasible,selected
OD,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,True
OD,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,True
OD,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,True
OD,0.125,H3,0.06224389707874901,0.03326312509257661,0.06224389707874901,0.03326312509257661,False,False
OD,0.125,H12,0.07811597113076703,0.04635287177118563,0.07811597113273007,0.04635287616560486,False,False
OD,0.125,macro,0.07017993410475802,0.039807998431881125,0.07017993410573954,0.039808000629090734,False,False
OD,0.25,H3,0.062154643309205906,0.033382333669439185,0.06215464362582797,0.033382473318599615,False,False
OD,0.25,H12,0.07798806666794861,0.046441193175497,0.0779880936248198,0.04644145590352762,False,False
OD,0.25,macro,0.07007135498857725,0.03991176342246809,0.07007136862532388,0.03991196461106362,False,False
OD,0.5,H3,0.062132251025918704,0.03380510154142746,0.06213225778959854,0.033805857507996154,False,False
OD,0.5,H12,0.07791941933138691,0.046790826741274806,0.07791960601171175,0.04679196377059805,False,False
OD,0.5,macro,0.07002583517865281,0.04029796414135113,0.07002593190065515,0.0402989106392971,False,False
OD,1.0,H3,0.06270996427016859,0.035277712839498744,0.06271002994003126,0.03528044964194599,False,False
OD,1.0,H12,0.07853029940985984,0.0480871174310318,0.07853086090160752,0.048090507830390095,False,False
OD,1.0,macro,0.07062013184001421,0.04168241513526527,0.07062044542081938,0.04168547873616804,False,False
OD,2.0,H3,0.06623843681946018,0.04004475518407631,0.06623887353452605,0.04005193478223545,False,False
OD,2.0,H12,0.08261993168211021,0.05251188332586709,0.08262145460603594,0.052520509661430285,False,False
OD,2.0,macro,0.0744291842507852,0.0462783192549717,0.074430164070281,0.046286222221832866,False,False
OD,4.0,H3,0.08080945544284056,0.0534458194601219,0.08087513995666981,0.05349285456056799,False,False
OD,4.0,H12,0.1000621894167864,0.06620202092946606,0.10008250467198102,0.06623218613389245,False,False
OD,4.0,macro,0.09043582242981349,0.059823920194793975,0.09047882231432541,0.05986252034723022,False,False
OD,8.0,H3,0.12415675025008382,0.08645827695251812,0.1257762439492942,0.08709732312796883,False,False
OD,8.0,H12,0.15211292511460964,0.10249483229635294,0.1545446745910681,0.10323145354472033,False,False
OD,8.0,macro,0.13813483768234674,0.09447655462443552,0.14016045927018117,0.09516438833634458,False,False
OD_STATIC,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,True
OD_STATIC,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,True
OD_STATIC,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,True
OD_STATIC,0.125,H3,0.062233603007809,0.0332447994726817,0.062233603007809,0.0332447994726817,False,False
OD_STATIC,0.125,H12,0.07811455893072386,0.046343910983588414,0.07811455893308283,0.046343917321366904,False,False
OD_STATIC,0.125,macro,0.07017408096926643,0.039794355228135056,0.07017408097044592,0.039794358397024304,False,False
OD_STATIC,0.25,H3,0.062139055347131905,0.033348652578306145,0.062139055591087615,0.033348781487362394,False,False
OD_STATIC,0.25,H12,0.07799348748464119,0.04643098662579822,0.07799350801559543,0.04643124976968984,False,False
OD_STATIC,0.25,macro,0.07006627141588655,0.03988981960205218,0.07006628180334153,0.03989001562852612,False,False
OD_STATIC,0.5,H3,0.06212119176113832,0.033749968854147605,0.06212120034863567,0.033750962399836354,False,False
OD_STATIC,0.5,H12,0.07796326094395269,0.046797426162934384,0.07796343567780034,0.04679866319317277,False,False
OD_STATIC,0.5,macro,0.0700422263525455,0.040273697508541,0.070042318013218,0.040274812796504564,False,False
OD_STATIC,1.0,H3,0.06276773609989728,0.035224427851968415,0.06276786008319894,0.0352282113425246,False,False
OD_STATIC,1.0,H12,0.0787479806520934,0.0481722078396795,0.07874854640679817,0.04817617348219845,False,False
OD_STATIC,1.0,macro,0.07075785837599534,0.04169831784582396,0.07075820324499855,0.041702192412361526,False,False
OD_STATIC,2.0,H3,0.06664840528542099,0.04010769390151964,0.06664921751537546,0.040117828847293216,False,False
OD_STATIC,2.0,H12,0.08352720932691161,0.052922317104537694,0.08352886346230486,0.052932314034614174,False,False
OD_STATIC,2.0,macro,0.0750878073061663,0.046515005503028665,0.07508904048884016,0.04652507144095369,False,False
OD_STATIC,4.0,H3,0.08226423872027118,0.05372128327198446,0.08252221517863503,0.05386043554870522,False,False
OD_STATIC,4.0,H12,0.1030512041068825,0.06757070473656106,0.10318529829414465,0.06765093387076608,False,False
OD_STATIC,4.0,macro,0.09265772141357684,0.06064599400427276,0.09285375673638985,0.06075568470973565,False,False
