phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP2,beijing,Changping,24,3,annual,17520,8761,AP2_beijing_Changping_K24_annual_17520_constant_logistic,constant,logistic,B,B,B,386,HIGHER_STRUCTURE,0.1201352347748274,0.1368895135844818,False,3.324109662790342e-05,2.0011770018868447e-14,0.0,0.1368895135844818,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,annual,17520,8761,AP2_beijing_Changping_K24_annual_17520_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,386,HIGHER_STRUCTURE,0.1170862449466789,0.1316927570430977,False,0.0001154317316022,2.009503674571533e-14,0.0,0.1316927570430976,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,annual,17520,8761,AP2_beijing_Changping_K24_annual_17520_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,386,HIGHER_STRUCTURE,-0.008790135788236,0.000749897514881,True,2.757883874770009e-05,2.8102744147e-05,0.0087901357882359,0.000749897514881,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Changping,24,3,origin_week,19704,168,AP2_beijing_Changping_K24_origin_week_19704_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,48,HIGHER_STRUCTURE,0.0046298304536601,0.0741229102320169,False,1.9999626954536612e-14,0.000238931253427,0.0,0.0741229102320169,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,origin_week,22560,168,AP2_beijing_Changping_K24_origin_week_22560_constant_logistic,constant,logistic,B,B,B,35,HIGHER_STRUCTURE,0.135759753760602,0.1997359098905512,False,0.0017334836153878,1.9984014443252815e-14,0.0,0.1997359098905512,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,origin_week,22560,168,AP2_beijing_Changping_K24_origin_week_22560_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,35,HIGHER_STRUCTURE,0.0509938952803667,0.0916019709955754,False,0.0059581884423731,1.9997892231060632e-14,0.0,0.0916019709955754,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,origin_week,22560,168,AP2_beijing_Changping_K24_origin_week_22560_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,A,A,A,35,HIGHER_STRUCTURE,-0.1089134608196163,-0.0694812071789958,False,0.0014382036077175,1.9997892231060632e-14,0.1089134608196163,0.0,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,24,3,origin_week,22728,168,AP2_beijing_Changping_K24_origin_week_22728_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,151,HIGHER_STRUCTURE,-0.0760245924895858,0.0513612251042501,True,6.143894094619295e-05,2.010197563961924e-14,0.0760245924895858,0.05136122510425,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Changping,24,3,origin_week,22728,168,AP2_beijing_Changping_K24_origin_week_22728_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,151,HIGHER_STRUCTURE,0.0026171965313021,0.2185363726330456,False,2.0000060635405603e-14,0.0012265933971889,0.0,0.2185363726330456,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,72,3,annual,17520,8713,AP2_beijing_Changping_K72_annual_17520_constant_logistic,constant,logistic,B,B,B,463,HIGHER_STRUCTURE,0.0375948402947153,0.04442920581925,False,3.198027969019551e-05,1.9997892231060632e-14,0.0,0.04442920581925,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,72,3,annual,17520,8713,AP2_beijing_Changping_K72_annual_17520_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,463,HIGHER_STRUCTURE,0.018867327148098,0.0227077431065672,False,0.0002910098817189,5.518452182280004e-05,0.0,0.0227077431065672,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,72,3,origin_week,19704,168,AP2_beijing_Changping_K72_origin_week_19704_constant_logistic,constant,logistic,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,117,HIGHER_STRUCTURE,-0.0409417158062161,0.0413312897237612,True,0.001604053658933,2.0004831124964543e-14,0.0409417158062162,0.0413312897237612,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Changping,72,3,origin_week,19704,168,AP2_beijing_Changping_K72_origin_week_19704_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,117,HIGHER_STRUCTURE,-0.0318547604571307,0.0316684162505896,True,0.0016971560328466,2.0004831124964543e-14,0.0318547604571307,0.0316684162505895,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Changping,72,3,origin_week,22560,168,AP2_beijing_Changping_K72_origin_week_22560_constant_logistic,constant,logistic,B,B,B,83,HIGHER_STRUCTURE,0.0500772813378905,0.0953423755864009,False,5.454263138419957e-05,2.0011770018868447e-14,0.0,0.0953423755864009,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Changping,72,3,origin_week,22560,168,AP2_beijing_Changping_K72_origin_week_22560_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,83,HIGHER_STRUCTURE,-0.0010645610211803,0.0140036078615596,True,0.0030760353203815,0.000535412372587,0.0010645610211804,0.0140036078615595,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Changping,72,3,origin_week,22728,168,AP2_beijing_Changping_K72_origin_week_22728_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,A,151,HIGHER_STRUCTURE,-0.0381157675990102,-0.000590087099438,False,0.0068214207569071,0.0023266277373827,0.0381157675990102,0.0,HIGHER_REQUIRED_FOR_DIRECTION
AP2,beijing,Guanyuan,24,3,annual,17520,8761,AP2_beijing_Guanyuan_K24_annual_17520_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,122,HIGHER_STRUCTURE,-0.000394911986608,0.0021650425138332,True,2.0000006425296982e-14,6.650802864979983e-05,0.000394911986608,0.0021650425138332,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Guanyuan,24,3,origin_week,19032,168,AP2_beijing_Guanyuan_K24_origin_week_19032_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,35,HIGHER_STRUCTURE,0.0083780447058086,0.0344892170223071,False,1.9999626954536612e-14,0.0034683145168413,0.0,0.0344892170223071,INDEPENDENT_ALREADY_DIRECTED
