phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP1,beijing,Guanyuan,72,3,annual,8760,8689,AP1_beijing_Guanyuan_K72_annual_8760_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,A,A,291,HIGHER_STRUCTURE,-0.0019113125803799,-0.0002628214656974,False,2.0000060635405603e-14,0.0001308048538996,0.0019113125803799,0.0,PAIRWISE_REQUIRED_FOR_DIRECTION
AP1,beijing,Guanyuan,72,3,origin_week,11784,168,AP1_beijing_Guanyuan_K72_origin_week_11784_constant_logistic,constant,logistic,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,77,HIGHER_STRUCTURE,-0.0277485086135445,0.0188546054849614,True,0.0008812169561346,2.0001361678012583e-14,0.0277485086135446,0.0188546054849613,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Guanyuan,72,3,origin_week,11784,168,AP1_beijing_Guanyuan_K72_origin_week_11784_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,A,A,77,HIGHER_STRUCTURE,-0.0152682153532535,-0.0017115678274435,False,0.000234027156102,1.9900097195102443e-14,0.0152682153532535,0.0,PAIRWISE_REQUIRED_FOR_DIRECTION
AP1,beijing,Guanyuan,72,3,origin_week,12624,168,AP1_beijing_Guanyuan_K72_origin_week_12624_constant_logistic,constant,logistic,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,104,HIGHER_STRUCTURE,-0.0239034236873107,0.0091172712718307,True,0.0049079579018517,1.9999626954536612e-14,0.0239034236873108,0.0091172712718307,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Guanyuan,72,3,origin_week,12624,168,AP1_beijing_Guanyuan_K72_origin_week_12624_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,104,HIGHER_STRUCTURE,-0.014191461599789,0.02088844598288,True,0.001291009849747,1.9997892231060632e-14,0.0141914615997891,0.02088844598288,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Guanyuan,72,3,origin_week,12624,168,AP1_beijing_Guanyuan_K72_origin_week_12624_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,104,HIGHER_STRUCTURE,-0.0035551831631016,0.0231710139198935,True,2.0000060635405603e-14,0.0067652581866859,0.0035551831631017,0.0231710139198935,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Gucheng,24,3,annual,8760,8737,AP1_beijing_Gucheng_K24_annual_8760_constant_logistic,constant,logistic,B,B,B,97,HIGHER_STRUCTURE,0.0764258411196113,0.0803840660758816,False,8.229827369102272e-06,1.6456530523706325e-05,0.0,0.0803840660758817,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Gucheng,24,3,annual,8760,8737,AP1_beijing_Gucheng_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,97,HIGHER_STRUCTURE,0.0733583307993816,0.0784097953493485,False,1.994158781049027e-05,2.0497492592141956e-14,0.0,0.078409795349348,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Gucheng,24,3,origin_week,10944,168,AP1_beijing_Gucheng_K24_origin_week_10944_constant_logistic,constant,logistic,B,B,B,23,HIGHER_STRUCTURE,0.1374257306844138,0.1427002587081628,False,1.990074771640593e-14,0.0008558375417579,0.0,0.1427002587081628,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Gucheng,24,3,origin_week,15984,168,AP1_beijing_Gucheng_K24_origin_week_15984_constant_logistic,constant,logistic,B,B,B,10,HIGHER_STRUCTURE,0.0738541427492974,0.0831286920698064,False,0.0004280000092374,1.990074771640593e-14,0.0,0.0831286920698064,INDEPENDENT_ALREADY_DIRECTED
