phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP2,beijing,Aotizhongxin,24,3,origin_week,18192,168,AP2_beijing_Aotizhongxin_K24_origin_week_18192_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.1076266948051929,0.1076266948051929,False,2.0108914533523148e-14,1.990074771640593e-14,0.0,0.107626694805193,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18192,168,AP2_beijing_Aotizhongxin_K24_origin_week_18192_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0076871765744766,0.0076871765744766,False,2.00004943162746e-14,1.9999626954536612e-14,0.0,0.0076871765744766,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_logistic,constant,logistic,B,B,B,21,STRUCTURALLY_EXACT,0.0358231252674386,0.0988895374886774,False,1.990074771640593e-14,1.9997892231060632e-14,0.0,0.0988895374886774,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,21,STRUCTURALLY_EXACT,0.009579462242875,0.1039799217414554,False,1.9999626954536612e-14,1.990074771640593e-14,0.0,0.1039799217414555,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,21,STRUCTURALLY_EXACT,-0.0262436630245636,0.0050903842527779,True,2.0098506192667287e-14,1.9999626954536612e-14,0.0262436630245635,0.0050903842527779,OBSERVATION_INFORMATION_INSUFFICIENT
AP2,beijing,Aotizhongxin,24,3,origin_week,18528,168,AP2_beijing_Aotizhongxin_K24_origin_week_18528_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.0743447383909885,0.0743447383909885,False,1.990074771640593e-14,1.9997892231060632e-14,0.0,0.0743447383909884,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18528,168,AP2_beijing_Aotizhongxin_K24_origin_week_18528_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.1010379975394692,0.1010379975394692,False,1.990074771640593e-14,2.009503674571533e-14,0.0,0.1010379975394691,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18528,168,AP2_beijing_Aotizhongxin_K24_origin_week_18528_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0266932591484806,0.0266932591484806,False,1.990074771640593e-14,2.0001361678012583e-14,0.0,0.0266932591484806,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_logistic,constant,logistic,B,B,B,6,UNRESOLVED_BUDGET,0.0278522398724476,0.0368353553727284,False,1.990074771640593e-14,2.0004831124964543e-14,0.0,0.0368353553727284,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,6,UNRESOLVED_BUDGET,0.0390295519047971,0.04853756743384,False,1.9997892231060632e-14,1.9997892231060632e-14,0.0,0.04853756743384,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,6,UNRESOLVED_BUDGET,0.0041590820117658,0.0144357445389753,False,1.9999626954536612e-14,1.9999626954536612e-14,0.0,0.0144357445389753,INDEPENDENT_ALREADY_DIRECTED
AP2,beijing,Aotizhongxin,24,3,origin_week,18864,168,AP2_beijing_Aotizhongxin_K24_origin_week_18864_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.0083637866713058,0.0083637866713058,False,2.0100240916143264e-14,1.990074771640593e-14,0.0,0.0083637866713059,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18864,168,AP2_beijing_Aotizhongxin_K24_origin_week_18864_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0169866356976815,0.0169866356976815,False,1.9897278269453974e-14,2.010197563961924e-14,0.0,0.0169866356976814,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,18864,168,AP2_beijing_Aotizhongxin_K24_origin_week_18864_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0086228490263756,0.0086228490263756,False,1.9999626954536612e-14,1.9999626954536612e-14,0.0,0.0086228490263756,NO_AMBIGUOUS_LABELS
