phase,dataset,series,K,L,scope,origin_start,N,comparison_id,endpoint,pairwise_pattern_feasible,pairwise_pattern_value,pairwise_reported_bound,witness_delta,absolute_pattern_DP_gap,equality_status,independent_conflict
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_constant_logistic,lower,True,0.04729543424207143,0.0472954342420514,0.04729543424207144,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,6954;6957
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_constant_logistic,upper,True,0.07559330814210892,0.0755933081421289,0.07559330814210893,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,6953;6954
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_constant_hist_gradient_boosting,lower,True,0.055241347785321734,0.0552413477853017,0.05524134778532174,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,6977;6992
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_constant_hist_gradient_boosting,upper,True,0.07523485862129362,0.0752348586213136,0.07523485862129363,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_logistic_hist_gradient_boosting,lower,True,-0.0019020409130578305,-0.0019020409130778,-0.0019020409130578299,6.505213034913027e-19,REALIZABLE_LP_OPTIMUM_NUMERIC,6977;6985
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,AP1_beijing_Aotizhongxin_K24_annual_8760_logistic_hist_gradient_boosting,upper,True,0.009591534492835509,0.0095915344928555,0.009591534492835509,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,6985;6989
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_constant_logistic,lower,True,-0.12525307443515551,-0.1252530744351755,-0.12525307443515554,2.7755575615628914e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_constant_logistic,upper,True,0.04965420326248838,0.0496542032625084,0.049654203262488386,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_constant_hist_gradient_boosting,lower,True,-0.10861716890334688,-0.1086171689033668,-0.10861716890334688,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_constant_hist_gradient_boosting,upper,True,0.03625220180805233,0.0362522018080723,0.036252201808052324,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_logistic_hist_gradient_boosting,lower,True,-0.013402001454436051,-0.013402001454456,-0.01340200145443606,8.673617379884035e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1_beijing_Aotizhongxin_K24_origin_week_10104_logistic_hist_gradient_boosting,upper,True,0.016635905531808663,0.0166359055318286,0.016635905531808656,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP1,beijing,Aotizhongxin,24,3,origin_week,15648,168,AP1_beijing_Aotizhongxin_K24_origin_week_15648_constant_logistic,lower,True,-0.18877537691919116,-0.1887753769192111,-0.18877537691919113,2.7755575615628914e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,66;69
