dataset,K,model_A,model_B,N,independent_lower,independent_upper,independent_direction,pairwise_lower,pairwise_upper,pairwise_direction,joint_lower,joint_upper,joint_direction
beijing,24,constant,hist_gradient_boosting,105132,0.1017413104114687,0.11234552099837107,B,0.10219238566660344,0.11170831769792354,B,0.10221815164728627,0.11170831771352702,B
beijing,24,constant,logistic,105132,0.09885882190142405,0.10807305849559333,B,0.09935874837703325,0.10738356732175083,B,0.09940181359394563,0.10738299130062738,B
beijing,24,logistic,hist_gradient_boosting,105132,0.0011857383857110497,0.0059692126271112915,B,0.001376313493200867,0.0057812818456639,B,0.0013793542256349417,0.005768307246213175,B
beijing,72,constant,hist_gradient_boosting,104556,0.008816864843161822,0.012266078022704264,B,0.009067993200444834,0.011995940944119515,B,0.009096386434728349,0.01199134224957284,B
beijing,72,constant,logistic,104556,0.0177295349685644,0.021438353214558215,B,0.017911049948394184,0.021182264715651832,B,0.017916663130065843,0.021181521223377554,B
beijing,72,logistic,hist_gradient_boosting,104556,-0.010554901325362768,-0.007530043991893692,A,-0.010139601742536102,-0.007866199450029455,A,-0.010139601758139641,-0.007868499099830333,A
household,60,constant,hist_gradient_boosting,525541,0.0425135237830581,0.0453770498528168,B,0.0425150655662134,0.0453753513330571,B,0.0425150646325594,0.0453753522667098,B
household,60,constant,logistic,525541,0.0423229491687688,0.0472182611296601,B,0.0423241804073606,0.0471790916438906,B,0.0423241794737073,0.0471790925775434,B
household,60,logistic,hist_gradient_boosting,525541,-0.0026044790266449,0.0009538423640909,OPPOSITE_POSSIBLE,-0.0025865557256917,0.0009530037442626,OPPOSITE_POSSIBLE,-0.0025863984519313,0.0009512469523762,OPPOSITE_POSSIBLE
household,180,constant,hist_gradient_boosting,525421,0.0669459051165911,0.0713533426500216,B,0.0669498729115706,0.0713465728869586,B,0.066949871977919,0.0713397282828924,B
household,180,constant,logistic,525421,0.0485622593434524,0.054339141601343,B,0.0486344338230657,0.0542845239879126,B,0.0486351434008877,0.0542444009964227,B
household,180,logistic,hist_gradient_boosting,525421,0.0168031018399589,0.0185947449818582,B,0.0169014685205347,0.0185163981250745,B,0.0169014675868822,0.0185075083455651,B
