system,fit_id,alias_systems,horizon,target_scope,postprocess,scored_values,rmse,mae
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,path_1_to_H,raw,23100,0.11544542596632247,0.06398396464352667
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,terminal_H,clip_0_1,3850,0.1123351607804161,0.06644140463838773
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,path_1_to_H,clip_0_1,23100,0.11544321573638909,0.06396915860327533
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,terminal_H,raw,3850,0.10886292410790518,0.07020737706974652
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,path_1_to_H,raw,34650,0.11364569890947299,0.06544300623127433
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,terminal_H,clip_0_1,3850,0.10886254429199578,0.07020097988345156
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,path_1_to_H,clip_0_1,34650,0.11364413691965407,0.06543172494333546
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,terminal_H,raw,3850,0.11474471527292922,0.07481106420831361
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,path_1_to_H,raw,46200,0.11366901300809915,0.06744244527707227
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,terminal_H,clip_0_1,3850,0.11473833978653034,0.07479380015985888
SCRAMBLED_SELECTED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,path_1_to_H,clip_0_1,46200,0.11366582165683878,0.06742992682078186
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
D_NORM_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
