candidate,reference,horizon,target_scope,postprocess,origin,mae_gain,mse_gain
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1464,-1.4337139686126813e-05,-9.591557798017164e-06
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1476,-0.0002280029768044132,-3.8860368693286293e-05
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1488,2.1997703852950705e-05,1.1827806493415798e-07
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1500,-6.908679103024954e-05,-1.8571474261510417e-05
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1512,-3.2903470117030272e-06,-5.177886827441129e-05
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1524,9.761256190208134e-05,-1.8816529869861605e-06
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1536,6.204724629442207e-06,1.449549205292689e-05
TIME_SELECTED,BASE_OD,3,path_1_to_H,clip_0_1,1548,-0.00012733290333908785,-8.836593204291443e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1392,5.7223248818469596e-05,-1.5021232105131929e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1404,-0.00023454810538486864,-3.872536563135746e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1416,-1.5264561042552516e-05,1.6889955877602027e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1428,-0.00015503048652078022,-1.2349036031589138e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1440,0.00013641493322366586,1.3173555291817403e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1452,2.7890511841179462e-05,6.951084474004039e-06
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1464,6.596430439266206e-05,4.297319581373801e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1476,2.5509863494300852e-05,1.7564598924694822e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1488,0.00020461125500077952,1.0934451603975951e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1500,-0.0001582501668167892,-1.258716936551979e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1512,-6.907040223305794e-05,-3.471040307205939e-05
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1524,0.0004141600146385109,0.00013613731972682896
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1536,3.515631938501417e-05,6.9576378328284026e-06
TIME_SELECTED,BASE_OD,6,terminal_H,raw,1548,2.034737446244159e-06,-2.0650600597584138e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1392,5.7223248818469596e-05,-1.5021232105131929e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1404,-0.00023454810538486864,-3.872536563135746e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1416,-1.5264561042552516e-05,1.6889955877602027e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1428,-0.00015732439829031094,-1.2400006920469048e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1440,0.00013641493322366586,1.3173555291817403e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1452,2.730314939315223e-05,6.9441926649176814e-06
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1464,6.596430439266206e-05,4.297319581373801e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1476,2.516255975869504e-05,1.7562066722119558e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1488,0.00020461125500077952,1.0934451603975951e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1500,-0.0001582501668167892,-1.258716936551979e-05
