fit_id,family,gamma,edf,future_hour,data_mse,base_penalty,actual_Q_penalty,extra_penalty,training_objective,D_second_difference_norm,D_coefficient_norm
BASE_OD,BASE,0.0,269.77074438013085,1,0.003435927385209434,0.00013803814304720792,0.0,0.0,0.0035739655282566417,0.1201761132113476,0.06361301297545738
BASE_OD,BASE,0.0,269.77074438013085,2,0.004396337049986163,0.000156607113318651,0.0,0.0,0.004552944163304814,0.09321082389192888,0.06461311588267732
BASE_OD,BASE,0.0,269.77074438013085,3,0.0051511824450420915,0.00016436305340667445,0.0,0.0,0.005315545498448766,0.08176502591570815,0.05823716341696463
BASE_OD,BASE,0.0,269.77074438013085,4,0.005720071677831907,0.00016713753079414462,0.0,0.0,0.005887209208626051,0.08444491631252139,0.0545682569375243
BASE_OD,BASE,0.0,269.77074438013085,5,0.006193427012750807,0.00017479094185221804,0.0,0.0,0.006368217954603025,0.08132729895272588,0.05255861430794742
BASE_OD,BASE,0.0,269.77074438013085,6,0.006590979478636806,0.00018183776471011396,0.0,0.0,0.006772817243346919,0.07809249639727282,0.04981646322605252
BASE_OD,BASE,0.0,269.77074438013085,7,0.006920783526938264,0.00018308680071330762,0.0,0.0,0.007103870327651572,0.07623892368800643,0.04698144373796743
BASE_OD,BASE,0.0,269.77074438013085,8,0.007196434454365647,0.00018630643217950276,0.0,0.0,0.00738274088654515,0.07625994450112619,0.0451656116457548
BASE_OD,BASE,0.0,269.77074438013085,9,0.007422715498133739,0.0001919870099605205,0.0,0.0,0.0076147025080942595,0.0730484164208341,0.04394448171475431
BASE_OD,BASE,0.0,269.77074438013085,10,0.007594892888794166,0.00020520657715201592,0.0,0.0,0.007800099465946181,0.07160201676180453,0.04328002799880909
BASE_OD,BASE,0.0,269.77074438013085,11,0.007709166305488263,0.0002099163024738315,0.0,0.0,0.007919082607962095,0.07282334162889283,0.043402578243250875
BASE_OD,BASE,0.0,269.77074438013085,12,0.007794806005096827,0.00022251174497526924,0.0,0.0,0.008017317750072096,0.06992862479329466,0.0432597232551322
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,1,0.0034494332619116317,0.0001289665902216013,0.0012871206780517503,1.2871206780517503e-05,0.0035912710589137507,0.08735437525974926,0.0562916586377363
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,2,0.004403578080081641,0.00015130432594976046,0.000995107562301076,9.95107562301076e-06,0.0045648334816544124,0.07680863403429021,0.060385350884990044
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,3,0.005157800514300338,0.00015970733082283658,0.0006032868382251371,6.032868382251371e-06,0.005323540713505426,0.05980492548557136,0.05467573294264389
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,4,0.005726336600337929,0.00016299164676832612,0.0006687256375072819,6.687256375072819e-06,0.005896015503481328,0.06296497207240614,0.05086818485306716
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,5,0.0061986183628593965,0.00017139519205779878,0.0006612053625582587,6.612053625582587e-06,0.006376625608542778,0.06260992909180703,0.04911331384426346
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,6,0.006596045106360674,0.000178462509123652,0.0005992482463856883,5.9924824638568825e-06,0.006780500097948183,0.05960441285797321,0.04643608140241177
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,7,0.006925443223635742,0.00018003081111810798,0.0005717935485519142,5.717935485519142e-06,0.007111191970239369,0.05822301001310693,0.043688188043305376
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,8,0.00720063725357788,0.00018371789303695167,0.0005758572161881973,5.7585721618819726e-06,0.007390113718776714,0.058429535671867414,0.0418792430719206
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,9,0.007426523229872209,0.0001896485336363906,0.000525479803502851,5.25479803502851e-06,0.007621426561543628,0.05581527164977638,0.04087090188821668
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,10,0.007598438125971538,0.00020302202169632542,0.00052466485519077,5.2466485519076995e-06,0.007806706796219771,0.05577197387630784,0.04043770854514078
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,11,0.007712408248477468,0.00020812946392329747,0.0005270282997190958,5.270282997190958e-06,0.007925807995397957,0.05589745002916693,0.04045865573204442
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,248.9293198241853,12,0.007797938594162404,0.0002207317988128978,0.00048420561376427164,4.842056137642716e-06,0.008023512449112945,0.053578424457208076,0.040399804510073516
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,1,0.0034976538633906423,0.00011516225462190819,0.00024287805805127492,2.428780580512749e-05,0.0036371039238176778,0.03794627670259233,0.04262346037597408
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,2,0.004440930751466728,0.00013998402177771858,0.0002968219128716057,2.9682191287160568e-05,0.004610596964531607,0.04194913481854563,0.04873495249006106
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,3,0.005180046098557771,0.00015172375989868555,0.00017646779755131647,1.764677975513165e-05,0.005349416638211589,0.03234504510161738,0.04750170043300358
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,4,0.005749987138776282,0.00015669317100317732,0.00013941125663787104,1.3941125663787104e-05,0.005920621435443247,0.028749079862223786,0.04429909550832318
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,5,0.006221960619946825,0.00016599384825149847,0.0001463882944817394,1.463882944817394e-05,0.0064025932976464976,0.02945969212571205,0.042214141425742584
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,6,0.006617598714047081,0.0001728184865089381,0.00014191738550228388,1.4191738550228388e-05,0.006804608939106247,0.029006333048256852,0.03947669223341569
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,7,0.006945249086831345,0.0001752931974723508,0.0001359685337378668,1.359685337378668e-05,0.0071341391376774825,0.028391885536241997,0.03697545742998898
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,8,0.007219502794913943,0.00018003288175551515,0.00013250160778817752,1.3250160778817753e-05,0.0074127858374482755,0.028027580098409624,0.03529090582797452
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,9,0.007443920767421761,0.00018600796270319152,0.00012797154893193989,1.2797154893193989e-05,0.007642725885018147,0.027544300112145342,0.03463167783523026
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,10,0.007615473375537394,0.00019989497249995423,0.00012781319724099318,1.278131972409932e-05,0.007828149667761448,0.027527253211268955,0.034401711441957174
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,11,0.007728045919451865,0.00020649499370445592,0.00012191742928827132,1.2191742928827133e-05,0.007946732656085148,0.026884869126021848,0.03458066475273251
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,219.31822790968147,12,0.007812745567221533,0.00021871300622556107,0.00011289492324214561,1.1289492324214562e-05,0.008042748065771307,0.025870941543827682,0.0347010793833757
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,1,0.003564712429213404,0.00010509606071869117,1.9423991781245424e-05,1.9423991781245424e-05,0.0036892324817133404,0.010731100721878337,0.030305559260635828
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,2,0.0045233383916082545,0.00013112636305453624,3.21904810007175e-05,3.21904810007175e-05,0.004686655235663508,0.01381461421585218,0.033803260397978416
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,3,0.005231854441100731,0.00014460097752078024,3.0641010334212056e-05,3.0641010334212056e-05,0.0054070964289557235,0.013478034664222057,0.03565083247351605
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,4,0.005787531872516051,0.00015143836443153242,2.3283629792347624e-05,2.3283629792347624e-05,0.0059622538667399305,0.011748985587715498,0.035706845429607
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,5,0.006259362673395353,0.00016147986018091466,1.793613615386331e-05,1.793613615386331e-05,0.00643877866973013,0.010311918557705987,0.03499260370414312
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,6,0.006654751324098231,0.0001685855960445504,1.4938416983582627e-05,1.4938416983582627e-05,0.006838275337126365,0.00941081676141631,0.03261077678178622
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,7,0.006981014634882463,0.00017207976862331314,1.39644600207156e-05,1.39644600207156e-05,0.007167058863526492,0.009098862494523284,0.03026627598859158
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,8,0.007254145659458578,0.00017755029626269865,1.4021414508366069e-05,1.4021414508366069e-05,0.007445717370229643,0.009117398611580823,0.028604726753840532
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,9,0.007477056902393146,0.00018415561548446307,1.4053725094838341e-05,1.4053725094838341e-05,0.007675266242972447,0.009127897515981203,0.02814414956676543
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,10,0.007646735503372231,0.00019948506272216866,1.368196102848379e-05,1.368196102848379e-05,0.007859902527122884,0.009006357934276031,0.028279407828851633
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,11,0.007756165162411829,0.0002074485035988745,1.3109313831621836e-05,1.3109313831621836e-05,0.007976722979842326,0.008815866572852004,0.02873339685878373
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,197.03634359904223,12,0.007838808404776236,0.0002195548114584555,1.2808403782670131e-05,1.2808403782670131e-05,0.008071171620017362,0.008714099879594239,0.02890183163921008
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,1,0.0034580321721371437,0.00012411412058677137,0.002025580250802364,2.0255802508023642e-05,0.003602402095231939,0.1022147743214374,0.05461717946395939
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,2,0.0044156498907642686,0.00014499739452387769,0.002069943019958165,2.0699430199581653e-05,0.004581346715487728,0.09028518111959616,0.05764929842603862
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,3,0.0051680168460770184,0.00015485734274393067,0.0018302706880765915,1.8302706880765916e-05,0.0053411768957017155,0.07476555707639874,0.05179085341101448
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,4,0.005729790916586444,0.0001621796455672875,0.0013620575433499758,1.3620575433499758e-05,0.0059055911375872315,0.07852004623149526,0.05021602319435666
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,5,0.006200816243108051,0.00017135672280252143,0.0009412467804591125,9.412467804591125e-06,0.006381585433715163,0.08014911571336898,0.049781129631610514
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,6,0.006603603655300026,0.00017468456239371245,0.0013406856523657936,1.3406856523657937e-05,0.0067916950742173965,0.06698881986562769,0.04439834032336813
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,7,0.006930348138055195,0.000178016309049017,0.0011960170524608243,1.1960170524608242e-05,0.00712032461762882,0.06976965472155715,0.042662611398730184
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,8,0.007202999496134916,0.00018330585604370037,0.0010843531792930467,1.0843531792930468e-05,0.007397148883971547,0.07455199646005715,0.04209457261846385
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,9,0.007429278014325878,0.0001893630529433089,0.0011379960758202356,1.1379960758202356e-05,0.00763002102802739,0.06812286123537918,0.0406199138950196
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,10,0.0075997680851724,0.00020358784414825992,0.001055478189187474,1.055478189187474e-05,0.007813910711212535,0.06896291898063121,0.04039875922738145
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,11,0.007714118411616157,0.00020901578219614022,0.0011462022055194867,1.1462022055194867e-05,0.007934596215867493,0.0676298535921904,0.03986938897965037
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,251.14290170744562,12,0.007798742804277416,0.00022207611227324136,0.0010956347677989245,1.0956347677989246e-05,0.008031775264228647,0.06689088087714183,0.03986906355027509
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,1,0.0035306528056679564,0.00010572706694344058,0.0003016155448546416,3.016155448546416e-05,0.003666541427096861,0.08746307093191821,0.040451133758467456
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,2,0.004484666247287829,0.00013057469838055212,0.0003635215992395371,3.635215992395371e-05,0.004651593105592334,0.10419559283710343,0.047409915707557634
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,3,0.005226001193525249,0.0001448184977275988,0.00030743047539922615,3.0743047539922615e-05,0.0054015627387927695,0.09123435588106037,0.043949365187701886
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,4,0.005770759861908873,0.0001567969611369194,0.00025749509013841366,2.5749509013841368e-05,0.0059533063320596335,0.0867383931557965,0.04406555352479689
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,5,0.006226991099947102,0.00016863318284166234,0.00018830420862735766,1.883042086273577e-05,0.0064144547036515,0.09208237658707089,0.046870908906143274
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,6,0.006644658576880923,0.00016890353205441483,0.0002083548612512254,2.083548612512254e-05,0.00683439759506046,0.07128735020526689,0.03890339967173208
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,7,0.006965732807337283,0.0001738925682464321,0.00020337667800443996,2.0337667800443997e-05,0.007159963043384158,0.08005062099585118,0.03839837561512303
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,8,0.007233713325010896,0.00018115041154896972,0.00022366620848860084,2.2366620848860084e-05,0.007437230357408726,0.08595193047670893,0.037999468553021234
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,9,0.0074591656514512265,0.00018921803117065889,0.00022791487563874577,2.2791487563874578e-05,0.00767117517018576,0.0826875291352593,0.03724914632149494
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,10,0.007625849024587572,0.0002054193609278756,0.00021823938234144101,2.18239382341441e-05,0.007853092323749592,0.07998520715370311,0.03712889303038075
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,11,0.007740557145976035,0.00021307913683760903,0.00020167268925597908,2.0167268925597908e-05,0.007973803551739243,0.07722732118676075,0.03667958155736047
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,217.8058493886051,12,0.007824670919361221,0.00022599921444369672,0.00018922911896626925,1.8922911896626928e-05,0.008069593045701545,0.07480244579619459,0.03618686988969554
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,1,0.0036091283632903037,9.575805471396456e-05,1.869691926041962e-05,1.869691926041962e-05,0.003723583337264688,0.06938321551901587,0.028725946602317226
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,2,0.004578294904848371,0.00012290961238295772,2.839485884353182e-05,2.839485884353182e-05,0.004729599376074861,0.09298478272450149,0.0358063715475657
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,3,0.00530474620213493,0.00013810517809245272,2.6673349596479543e-05,2.6673349596479543e-05,0.005469524729823863,0.08110734411444552,0.03375433098024039
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,4,0.005839428375540818,0.00014980967050602894,2.7289046175433258e-05,2.7289046175433258e-05,0.00601652709222228,0.07258497385261549,0.03345332090623048
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,5,0.006277296532956991,0.0001641768855103139,2.4900126068581944e-05,2.4900126068581944e-05,0.006466373544535887,0.08419086995603922,0.03993738248127119
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,6,0.006692674796228933,0.00016879221924719366,1.8759680928498033e-05,1.8759680928498033e-05,0.006880226696404624,0.07587336129230336,0.03518422366533469
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,7,0.007015637109709573,0.00017193316981002702,2.13913386648852e-05,2.13913386648852e-05,0.007208961618184485,0.07247890068743126,0.03211377465517081
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,8,0.007287097268541792,0.00018084772812785116,2.033094749524375e-05,2.033094749524375e-05,0.007488275944164887,0.08058109990309331,0.0330032370705354
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,9,0.007512438663176756,0.00019066240645279094,2.1771114313474385e-05,2.1771114313474385e-05,0.007724872183943022,0.07659045262618011,0.03169440927389589
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,10,0.007673865085598728,0.0002097614853824086,1.92535612325643e-05,1.92535612325643e-05,0.007902880132213701,0.07974712964519297,0.033811761423811613
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,11,0.007781948388539024,0.0002183762984446216,1.8486124057847134e-05,1.8486124057847134e-05,0.008018810811041494,0.07438614985603377,0.033378427081934975
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,192.39113893694383,12,0.007861183015010712,0.00023233612138800618,1.594737383828034e-05,1.594737383828034e-05,0.008109466510237,0.07345834863570687,0.033411943480676824
D_NORM_g0.01,D_NORM,0.01,247.84755851764825,1,0.0034599962450602498,0.0001200381570135755,0.002660354344949786,2.660354344949786e-05,0.003606637945523323,0.0924740350285505,0.05157862294545858
D_NORM_g0.01,D_NORM,0.01,247.84755851764825,2,0.004417668926199174,0.00014081556469757006,0.0029300248523440905,2.9300248523440905e-05,0.004587784739420185,0.07489041188291057,0.05412970397428837
D_NORM_g0.01,D_NORM,0.01,247.84755851764825,3,0.005168155309594956,0.00015165400178689996,0.002436094756781291,2.436094756781291e-05,0.005344170258949669,0.06289173971319208,0.049356810642314515
D_NORM_g0.01,D_NORM,0.01,247.84755851764825,4,0.005734269138012057,0.00015651541084571796,0.00218205652260125,2.18205652260125e-05,0.005912605114083787,0.06712490888682499,0.04671248786567945
D_NORM_g0.01,D_NORM,0.01,247.84755851764825,5,0.006206167926420864,0.0001652740639810358,0.0020473578202320664,2.0473578202320663e-05,0.00639191556860422,0.06541021850088696,0.045247738288582626
