epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07001439615918689,0.04114011513484355
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997892207730827,0.041060358463352827
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08462435147031032,0.05673107962305275
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08462358397363165,0.05671914414542041
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07438298681059159,0.04507233970403316
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07435553615032235,0.04500680877685494
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.0923906836156241,0.06000124697062504
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09237985245590155,0.05998198720877273
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.0787150880824858,0.04871211679151338
10,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0786923444821452,0.048659169757797924
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07141745518847338,0.04126299266526781
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07140837814516154,0.0412349679339541
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06517230954523799,0.03658689452949034
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06513945738997659,0.036539583682776065
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07577401089690104,0.04722118122483583
