stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,PRODUCT_MSE,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10717668405439977,0.06258287145506423
DEV_EVAL,PRODUCT_MSE,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.1072900050111226,0.058224564142664366
DEV_EVAL,PRODUCT_MSE,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10714607114323838,0.06252501317998707
DEV_EVAL,PRODUCT_MSE,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10726656227521787,0.05816564018978493
DEV_EVAL,PRODUCT_MSE,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11209167841866466,0.06780828697683887
DEV_EVAL,PRODUCT_MSE,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.1149003472017145,0.06448256097956796
DEV_EVAL,PRODUCT_MSE,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11207141962221873,0.06774219643741658
DEV_EVAL,PRODUCT_MSE,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11487532063771863,0.064415099875999
DEV_EVAL,PRODUCT_MSE,20260917,9,AVAILABLE,terminal_H,raw,3850,0.1096708600652709,0.07246738970330283
DEV_EVAL,PRODUCT_MSE,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11342129869290239,0.06640349412113708
DEV_EVAL,PRODUCT_MSE,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10965341539285074,0.07242023496841388
DEV_EVAL,PRODUCT_MSE,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11339970004636991,0.06634035606795989
DEV_EVAL,PRODUCT_MSE,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11452717032361337,0.07540660709371044
DEV_EVAL,PRODUCT_MSE,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.11336585629759102,0.06838668913216825
DEV_EVAL,PRODUCT_MSE,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11449481347243566,0.07535751201227088
DEV_EVAL,PRODUCT_MSE,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11334094213050742,0.06832831278782535
DEV_EVAL,PRODUCT_POSREG,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10914058372590309,0.06276205381686041
DEV_EVAL,PRODUCT_POSREG,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.10851697810928757,0.05816260263236536
DEV_EVAL,PRODUCT_POSREG,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.1091299606127941,0.06273932581293361
DEV_EVAL,PRODUCT_POSREG,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10850558429485868,0.058129030829764956
DEV_EVAL,PRODUCT_POSREG,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11358374504999573,0.06766124813278263
DEV_EVAL,PRODUCT_POSREG,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11620364954023522,0.06443942356667566
DEV_EVAL,PRODUCT_POSREG,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.1135728827227824,0.06762452200823126
DEV_EVAL,PRODUCT_POSREG,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11619187997013206,0.06440307433764814
DEV_EVAL,PRODUCT_POSREG,20260915,9,AVAILABLE,terminal_H,raw,3850,0.1103546618344471,0.07147346339253419
DEV_EVAL,PRODUCT_POSREG,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.11457751197343079,0.06610334654915472
DEV_EVAL,PRODUCT_POSREG,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11035437223064572,0.07146557335804452
DEV_EVAL,PRODUCT_POSREG,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11456784816511002,0.06607150784602103
DEV_EVAL,PRODUCT_POSREG,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11527623399801201,0.07541128698260231
DEV_EVAL,PRODUCT_POSREG,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.1145059074403225,0.06816116896981593
DEV_EVAL,PRODUCT_POSREG,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11527117991403361,0.07540304586838065
DEV_EVAL,PRODUCT_POSREG,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11449708786047287,0.06813494872051121
DEV_EVAL,PRODUCT_POSREG,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10755979080034359,0.06160719651818585
DEV_EVAL,PRODUCT_POSREG,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10769421358500902,0.05751113175110737
DEV_EVAL,PRODUCT_POSREG,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10755132897183267,0.06158542514790181
DEV_EVAL,PRODUCT_POSREG,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10768583596541552,0.05748102043174648
DEV_EVAL,PRODUCT_POSREG,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11180138013083057,0.06586377718460933
DEV_EVAL,PRODUCT_POSREG,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.11509073000290275,0.06335662740383331
DEV_EVAL,PRODUCT_POSREG,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11175404785681367,0.06577433076744056
DEV_EVAL,PRODUCT_POSREG,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1150712218871454,0.06330393533599105
DEV_EVAL,PRODUCT_POSREG,20260916,9,AVAILABLE,terminal_H,raw,3850,0.1076629670916247,0.06886763057778103
DEV_EVAL,PRODUCT_POSREG,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.11308214729543824,0.06454950535485483
DEV_EVAL,PRODUCT_POSREG,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10764924417598538,0.06882662735882696
DEV_EVAL,PRODUCT_POSREG,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11305880439153419,0.06449679771460118
DEV_EVAL,PRODUCT_POSREG,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11424245760508325,0.0742622297759553
DEV_EVAL,PRODUCT_POSREG,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.11295919965474542,0.06655915875012142
DEV_EVAL,PRODUCT_POSREG,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11423411213860317,0.07423767659474241
DEV_EVAL,PRODUCT_POSREG,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11293898726907918,0.06651324987645518
DEV_EVAL,PRODUCT_POSREG,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10750143075520356,0.062480241084782964
DEV_EVAL,PRODUCT_POSREG,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.10731578397933168,0.05782054441276518
DEV_EVAL,PRODUCT_POSREG,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10749469439870526,0.062457328718885256
DEV_EVAL,PRODUCT_POSREG,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10730936194885217,0.05779016792220068
DEV_EVAL,PRODUCT_POSREG,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11269161560026889,0.06711598240439583
DEV_EVAL,PRODUCT_POSREG,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.11532976100623687,0.06407564958485407
DEV_EVAL,PRODUCT_POSREG,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11268155109998729,0.06708096357307804
DEV_EVAL,PRODUCT_POSREG,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11532126998903329,0.06404399438524519
DEV_EVAL,PRODUCT_POSREG,20260917,9,AVAILABLE,terminal_H,raw,3850,0.1096827028992755,0.07163359633021421
DEV_EVAL,PRODUCT_POSREG,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11375556695425201,0.06581454073847298
DEV_EVAL,PRODUCT_POSREG,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10967329161127536,0.07161094663252725
DEV_EVAL,PRODUCT_POSREG,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11374676061896355,0.06578478665328938
DEV_EVAL,PRODUCT_POSREG,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11530377715053441,0.07518726476842069
DEV_EVAL,PRODUCT_POSREG,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.11385991685096186,0.06793480030098031
DEV_EVAL,PRODUCT_POSREG,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11529812961421748,0.07516942434661632
DEV_EVAL,PRODUCT_POSREG,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11385074989169622,0.06790738713933564
DEV_EVAL,PRODUCT_MIX,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10865617349243889,0.06211070826961564
DEV_EVAL,PRODUCT_MIX,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.10799744303596377,0.05754997644758734
DEV_EVAL,PRODUCT_MIX,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10862099572102142,0.062075208162329316
DEV_EVAL,PRODUCT_MIX,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10794788377703148,0.05748345452601687
DEV_EVAL,PRODUCT_MIX,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11350368804283494,0.06646333619136778
DEV_EVAL,PRODUCT_MIX,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11602466441740113,0.0637142409466806
DEV_EVAL,PRODUCT_MIX,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11347602474222676,0.06641107525703963
DEV_EVAL,PRODUCT_MIX,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11598608926672391,0.06364837103495168
DEV_EVAL,PRODUCT_MIX,20260915,9,AVAILABLE,terminal_H,raw,3850,0.11034685792534271,0.07090356205144954
DEV_EVAL,PRODUCT_MIX,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.1145079263922766,0.06536141594411428
DEV_EVAL,PRODUCT_MIX,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11033806685797277,0.07088452457660512
DEV_EVAL,PRODUCT_MIX,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11447770613633931,0.06530697901346363
DEV_EVAL,PRODUCT_MIX,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11531662294288762,0.07479730197717073
DEV_EVAL,PRODUCT_MIX,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.1145259197582,0.06755436373758536
DEV_EVAL,PRODUCT_MIX,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11529783006683678,0.07476132399255682
DEV_EVAL,PRODUCT_MIX,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11449700385601723,0.06750491720485043
DEV_EVAL,PRODUCT_MIX,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10801094542689826,0.06154318732069454
DEV_EVAL,PRODUCT_MIX,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10754434769340387,0.05717716274671258
DEV_EVAL,PRODUCT_MIX,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10767560753659744,0.061364536344944355
DEV_EVAL,PRODUCT_MIX,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10732700287076352,0.057001772903326975
DEV_EVAL,PRODUCT_MIX,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11373297492907987,0.06763110243782305
DEV_EVAL,PRODUCT_MIX,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.11598327700497886,0.06383182766253588
DEV_EVAL,PRODUCT_MIX,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11344964485512606,0.06729324777122045
DEV_EVAL,PRODUCT_MIX,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1157187008182857,0.06357847567309297
DEV_EVAL,PRODUCT_MIX,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10924951284381469,0.0706451929141941
DEV_EVAL,PRODUCT_MIX,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.11414801876170284,0.06531606744018707
DEV_EVAL,PRODUCT_MIX,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10915286091542677,0.07053510646821884
DEV_EVAL,PRODUCT_MIX,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11391444509505363,0.06509319294120776
DEV_EVAL,PRODUCT_MIX,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11509256230627217,0.07549854714545297
DEV_EVAL,PRODUCT_MIX,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.11398972252506784,0.06744853088636416
DEV_EVAL,PRODUCT_MIX,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.1150860190336495,0.07546999375707357
DEV_EVAL,PRODUCT_MIX,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11380653296362096,0.06726970555369882
DEV_EVAL,PRODUCT_MIX,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10857265704448582,0.062151844791526
DEV_EVAL,PRODUCT_MIX,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.10792825457816575,0.05745135898111915
DEV_EVAL,PRODUCT_MIX,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10855609716870905,0.06209840229250581
DEV_EVAL,PRODUCT_MIX,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10791397392335772,0.0574020064338266
DEV_EVAL,PRODUCT_MIX,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11339442670400385,0.06704474835934195
DEV_EVAL,PRODUCT_MIX,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.11602072571972842,0.0639057269860052
DEV_EVAL,PRODUCT_MIX,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11336102966979777,0.06692794196936964
DEV_EVAL,PRODUCT_MIX,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1159994116652478,0.06382214133584609
DEV_EVAL,PRODUCT_MIX,20260917,9,AVAILABLE,terminal_H,raw,3850,0.10934998214419173,0.07041729283338909
DEV_EVAL,PRODUCT_MIX,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11429880820047492,0.06543808969264538
DEV_EVAL,PRODUCT_MIX,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10932042315500994,0.07035024316212682
DEV_EVAL,PRODUCT_MIX,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11427530910372492,0.0653555607288825
DEV_EVAL,PRODUCT_MIX,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11493829480390906,0.07384351209290538
DEV_EVAL,PRODUCT_MIX,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.11414902974285245,0.0672850233558095
DEV_EVAL,PRODUCT_MIX,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11491959959514216,0.073798417505168
DEV_EVAL,PRODUCT_MIX,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11412472950784723,0.06721150660159603
DEV_EVAL,PRODUCT_L1,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10869812687672668,0.0625718360608538
DEV_EVAL,PRODUCT_L1,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.1083726767116163,0.05813857900680188
DEV_EVAL,PRODUCT_L1,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10869626477871758,0.06255582000391684
DEV_EVAL,PRODUCT_L1,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10836828171532834,0.05811302985927203
DEV_EVAL,PRODUCT_L1,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11209371803671993,0.06649671670527076
DEV_EVAL,PRODUCT_L1,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.1155880285351503,0.06400854742263869
DEV_EVAL,PRODUCT_L1,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11208822467706005,0.06646816638514097
DEV_EVAL,PRODUCT_L1,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11558406499322757,0.06398484408643837
DEV_EVAL,PRODUCT_L1,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10875608441647576,0.07044039766131505
DEV_EVAL,PRODUCT_L1,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.1136294916669836,0.06541019524115822
DEV_EVAL,PRODUCT_L1,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10875195318235148,0.0704250263321766
DEV_EVAL,PRODUCT_L1,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11362540446251508,0.0653874546427582
DEV_EVAL,PRODUCT_L1,20260915,12,AVAILABLE,terminal_H,raw,3850,0.1145401362094218,0.07461593848769361
DEV_EVAL,PRODUCT_L1,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.11352372316069535,0.06741582595323357
DEV_EVAL,PRODUCT_L1,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11452967962834772,0.07459294805109778
DEV_EVAL,PRODUCT_L1,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11351647269635853,0.06739227882569143
DEV_EVAL,PRODUCT_L1,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10866860089683418,0.06264397522809195
DEV_EVAL,PRODUCT_L1,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10836088537899664,0.058163692968168895
DEV_EVAL,PRODUCT_L1,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10866690222109422,0.06262962079984082
DEV_EVAL,PRODUCT_L1,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.1083565421468507,0.05813875404599552
DEV_EVAL,PRODUCT_L1,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11204714128968661,0.067018751297176
DEV_EVAL,PRODUCT_L1,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.11551178336250746,0.06421349448227702
DEV_EVAL,PRODUCT_L1,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.1120455099114674,0.06700553789089529
DEV_EVAL,PRODUCT_L1,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11550940512923384,0.06419679614428031
DEV_EVAL,PRODUCT_L1,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10933878171388435,0.071128863055645
DEV_EVAL,PRODUCT_L1,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.1136719316709866,0.06576909141956198
DEV_EVAL,PRODUCT_L1,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10933209394690292,0.07111342609797393
DEV_EVAL,PRODUCT_L1,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11366941554434161,0.06575434169796687
DEV_EVAL,PRODUCT_L1,20260916,12,AVAILABLE,terminal_H,raw,3850,0.1149626637894871,0.07491830487010286
DEV_EVAL,PRODUCT_L1,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.11371505056393706,0.067763664288864
DEV_EVAL,PRODUCT_L1,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11495783632697337,0.07490538571879761
DEV_EVAL,PRODUCT_L1,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371168924208094,0.06774941995321021
DEV_EVAL,PRODUCT_L1,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10886806677743449,0.06269824590698579
DEV_EVAL,PRODUCT_L1,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.10844419393142521,0.05819889020140108
DEV_EVAL,PRODUCT_L1,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.1088645408110231,0.06267972716763079
DEV_EVAL,PRODUCT_L1,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843914845692271,0.058172571942191886
