seed,candidate,reference,horizon,target_scope,postprocess,origin,mae_gain,mse_gain
20260915,PRODUCT_POSREG,BASE_OD,3,path_1_to_H,clip_0_1,1500,-6.967882757067837e-05,7.593017088667302e-05
20260915,PRODUCT_POSREG,BASE_OD,3,path_1_to_H,clip_0_1,1512,-0.0011285550296522963,-0.0006326135703115483
20260915,PRODUCT_POSREG,BASE_OD,3,path_1_to_H,clip_0_1,1524,-0.0005119366936229069,-8.19863401843103e-05
20260915,PRODUCT_POSREG,BASE_OD,3,path_1_to_H,clip_0_1,1536,-1.2138025436127368e-05,-1.9748619690858213e-06
20260915,PRODUCT_POSREG,BASE_OD,3,path_1_to_H,clip_0_1,1548,-0.00021216294714491635,5.349608698433771e-05
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1392,0.004655503204121768,0.0007007781120869062
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1404,-0.003864662866758247,-0.0005431032154668031
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1416,-0.006807042210981288,-0.000781799703657676
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1428,-0.0017137095912042315,4.170888635837167e-05
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1440,0.0008282705358060063,0.00013745278551690243
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1452,-0.004555495720756472,-0.00032387685691490905
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1464,-0.0003008089076587548,0.0011454184648114775
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1476,0.0007251789461572772,-0.0003041597281506512
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1488,0.0035115115029913007,9.036830847248439e-05
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1500,0.0012586297308177336,0.0005049698301767665
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1512,-0.005640650873463573,-0.0030871727854610287
20260915,PRODUCT_POSREG,BASE_OD,6,terminal_H,raw,1524,-0.005469782780200357,-0.0016817021363804343
