stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,P_FWD_X,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,P_FWD_X,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,P_FWD_X,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,P_FWD_X,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,P_FWD_X,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,P_FWD_X,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,P_FWD_X,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,P_FWD_X,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,P_FWD_X,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,P_FWD_X,20260917,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,P_FWD_X,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,P_FWD_X,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,P_FWD_X,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,P_FWD_X,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,P_FWD_X,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,P_FWD_X,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
DEV_EVAL,P_FWD_X,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,P_IS_BC,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10965102338449485,0.0640249596680392
DEV_EVAL,P_IS_BC,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.10862012203860451,0.059247378340467595
DEV_EVAL,P_IS_BC,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.1095987052253017,0.06394568110212813
DEV_EVAL,P_IS_BC,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10857254286292227,0.05913242891582588
DEV_EVAL,P_IS_BC,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11595116498980525,0.07039180396060853
DEV_EVAL,P_IS_BC,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11731753024304346,0.06618249148399688
DEV_EVAL,P_IS_BC,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11593643082227352,0.07033469746221961
DEV_EVAL,P_IS_BC,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11728210257525831,0.0660886421497125
DEV_EVAL,P_IS_BC,20260915,9,AVAILABLE,terminal_H,raw,3850,0.11566113073062394,0.07584023840029328
DEV_EVAL,P_IS_BC,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.11677217375910268,0.06852902811089183
DEV_EVAL,P_IS_BC,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11565359522193032,0.07580580368116042
DEV_EVAL,P_IS_BC,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11674515856753992,0.06845350475045658
DEV_EVAL,P_IS_BC,20260915,12,AVAILABLE,terminal_H,raw,3850,0.12041945658408852,0.07898974033491342
DEV_EVAL,P_IS_BC,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.11734086761920305,0.0708357557939837
DEV_EVAL,P_IS_BC,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.12041291620223527,0.07897624533884445
DEV_EVAL,P_IS_BC,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11731667006108723,0.07077358736388296
DEV_EVAL,P_IS_BC,20260916,3,AVAILABLE,terminal_H,raw,3850,0.1099192665355707,0.06388793482062577
DEV_EVAL,P_IS_BC,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10841708522477848,0.05891052177115396
DEV_EVAL,P_IS_BC,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10981592426716555,0.06380706822853925
DEV_EVAL,P_IS_BC,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10833503128710707,0.058800609890170746
DEV_EVAL,P_IS_BC,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11648071103698654,0.06958869199453167
DEV_EVAL,P_IS_BC,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.1174548308069981,0.06559150906754202
DEV_EVAL,P_IS_BC,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11640755169319152,0.06951546898457973
DEV_EVAL,P_IS_BC,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11737342286510338,0.06550241038226025
DEV_EVAL,P_IS_BC,20260916,9,AVAILABLE,terminal_H,raw,3850,0.11615512820211435,0.07616005552945443
DEV_EVAL,P_IS_BC,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.11694219777974202,0.06809593213337414
DEV_EVAL,P_IS_BC,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.116123809158607,0.0761153601056315
DEV_EVAL,P_IS_BC,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11687744294632146,0.06801975294038855
DEV_EVAL,P_IS_BC,20260916,12,AVAILABLE,terminal_H,raw,3850,0.12112134293969408,0.07927100651755255
DEV_EVAL,P_IS_BC,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.11775745632747438,0.07063932578797395
DEV_EVAL,P_IS_BC,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.12110433900636322,0.07923512637748893
DEV_EVAL,P_IS_BC,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11770227749141432,0.07057104491698038
DEV_EVAL,P_IS_BC,20260917,3,AVAILABLE,terminal_H,raw,3850,0.11080545980017033,0.06443121009760068
DEV_EVAL,P_IS_BC,20260917,3,AVAILABLE,path_1_to_H,raw,11550,0.10949101020580286,0.05969982446381698
DEV_EVAL,P_IS_BC,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11067976271046756,0.06438958320308395
DEV_EVAL,P_IS_BC,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10939589510809176,0.05963158093080172
DEV_EVAL,P_IS_BC,20260917,6,AVAILABLE,terminal_H,raw,3850,0.1176858194060567,0.07122758599956307
DEV_EVAL,P_IS_BC,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.1184342054972248,0.06670307007182161
DEV_EVAL,P_IS_BC,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11767495045934388,0.07119345913947678
DEV_EVAL,P_IS_BC,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1183845587337228,0.06665517483185551
DEV_EVAL,P_IS_BC,20260917,9,AVAILABLE,terminal_H,raw,3850,0.11814437473309732,0.07795700179082533
DEV_EVAL,P_IS_BC,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11820048220431698,0.06940862301551783
DEV_EVAL,P_IS_BC,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11813251209452443,0.07791936792338912
DEV_EVAL,P_IS_BC,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11816347795519974,0.06936516277383277
DEV_EVAL,P_IS_BC,20260917,12,AVAILABLE,terminal_H,raw,3850,0.12216308243846187,0.08007716273482078
DEV_EVAL,P_IS_BC,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.11898074913356024,0.07186547010797296
DEV_EVAL,P_IS_BC,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.12214046851775981,0.08002504700517749
DEV_EVAL,P_IS_BC,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11894581331268794,0.07182080090748062
DEV_EVAL,P_FWD_BC,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,P_FWD_BC,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,P_FWD_BC,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,P_FWD_BC,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,P_FWD_BC,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,P_FWD_BC,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,P_FWD_BC,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,P_FWD_BC,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,P_FWD_BC,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,P_FWD_BC,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,P_FWD_BC,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,P_FWD_BC,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,P_FWD_BC,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,P_FWD_BC,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,P_FWD_BC,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
DEV_EVAL,P_FWD_BC,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,P_FWD_BC,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,P_FWD_BC,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,P_FWD_BC,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
