dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,independent_lower,implication_lower,DP_lower,cover_LP_lower,cover_LP_lower_rounds,cover_LP_lower_max_violation,cover_LP_lower_primal_dual_gap_per_N,cover_LP_lower_fractionality,cover_ILP_lower,cover_ILP_lower_rounds,cover_ILP_lower_max_violation,cover_ILP_lower_primal_dual_gap_per_N,cover_ILP_lower_fractionality,independent_upper,implication_upper,DP_upper,cover_LP_upper,cover_LP_upper_rounds,cover_LP_upper_max_violation,cover_LP_upper_primal_dual_gap_per_N,cover_LP_upper_fractionality,cover_ILP_upper,cover_ILP_upper_rounds,cover_ILP_upper_max_violation,cover_ILP_upper_primal_dual_gap_per_N,cover_ILP_upper_fractionality,independent_direction,implication_direction,cover_LP_direction,cover_ILP_direction,DP_direction,cover_LP_width_gap,cover_LP_endpoint_gap,implication_width_gap,cover_ILP_DP_max_error
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.07673986561034325,0.0767398656103232,0.07673986561034325,0.07673986561034325,,,,,0.07673986561034325,,,,,0.07673986561034325,0.0767398656103632,0.07673986561034325,0.07673986561034325,,,,,0.07673986561034325,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.0711697866817178,0.0711697866816978,0.0711697866817178,0.0711697866817178,,,,,0.0711697866817178,,,,,0.0711697866817178,0.0711697866817378,0.0711697866817178,0.0711697866817178,,,,,0.0711697866817178,,,,,B,B,B,B,B,0.0,0.0,4.000966224992908e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.0055700789286254404,-0.0055700789286454,-0.0055700789286254404,-0.0055700789286254404,,,,,-0.0055700789286254404,,,,,-0.0055700789286254404,-0.0055700789286054,-0.0055700789286254404,-0.0055700789286254404,,,,,-0.0055700789286254404,,,,,A,A,A,A,A,0.0,0.0,4.0000121270811206e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.07942541718253739,0.0794254171825173,0.07942541718253739,0.07942541718253739,,,,,0.07942541718253739,,,,,0.07942541718253739,0.0794254171825573,0.07942541718253739,0.07942541718253739,,,,,0.07942541718253739,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.05791136339546234,0.0579113633954423,0.05791136339546234,0.05791136339546234,,,,,0.05791136339546234,,,,,0.05791136339546234,0.0579113633954823,0.05791136339546234,0.05791136339546234,,,,,0.05791136339546234,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.02151405378707503,-0.021514053787095,-0.02151405378707503,-0.02151405378707503,,,,,-0.02151405378707503,,,,,-0.02151405378707503,-0.021514053787055,-0.02151405378707503,-0.02151405378707503,,,,,-0.02151405378707503,,,,,A,A,A,A,A,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.01793831955903108,0.017938319559011,0.01793831955903108,0.01793831955903108,,,,,0.01793831955903108,,,,,0.01793831955903108,0.017938319559051,0.01793831955903108,0.01793831955903108,,,,,0.01793831955903108,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.03608138701866622,0.0360813870186462,0.03608138701866622,0.03608138701866622,,,,,0.03608138701866622,,,,,0.03608138701866622,0.0360813870186862,0.03608138701866622,0.03608138701866622,,,,,0.03608138701866622,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.01814306745963515,0.0181430674596151,0.01814306745963515,0.01814306745963515,,,,,0.01814306745963515,,,,,0.01814306745963515,0.0181430674596551,0.01814306745963515,0.01814306745963515,,,,,0.01814306745963515,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.04022870834677944,0.0402287083467594,0.04022870834677944,0.04022870834677944,,,,,0.04022870834677944,,,,,0.04022870834677944,0.0402287083467994,0.04022870834677944,0.04022870834677944,,,,,0.04022870834677944,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
